establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Anderson Construction|Anderson Construction|VA|1|2|75|158351|541759167|'Anderson Associates'|anderson|false
Harness Roofing TS|Harness Roofing, Inc.|OK|1|2|38|83110|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing Corp|Harness Roofing, Inc.|AR|1|2|22|45447|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing MN|Harness Roofing Inc.|LA|1|1|8|15822|710654212|'Harness Roofing Inc.'|harness roofing|false
Harness Roofing TX|Harness Roofing, Inc.|AR|1|1|5|10329|710654212|'Harness Roofing Inc.'|harness roofing|false
Skyway Roofing, Inc.|Skyway Roofing, Inc.|NY|1|2|37|76960|141763964|'Skyway Roofing Inc.'|skyway roofing|false
Willham Roofing Co. Inc.|Willham Roofing Co. Inc.|OH|1|2|22|53047||'Willham Roofing Co. Inc.'|willham roofing|false
GM Construction LLC|GM Construction LLC|NV|1|2|46|89174|472223810|'GM Consulting LLC'|gm|false
RSI Roofing, Inc.|RSI Roofing, Inc.|NY|1|2|35|62598|161212717|'RSI Roofing Inc.'|rsi roofing|false
Williamsburg Office|Pyramid Roofing|VA|1|1|15|26415|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Hampton Office|Pyramid Roofing|VA|1|1|24|42264|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Brothers Construction LLC|Brothers Construction LLC|NC|1|2|92|89295|473488124|'Brothers Services Co.'|brothers|false
Building Envelope Systems|Building Envelope Systems|MA|1|2|67|132169|454071476|'Building Envelope Contractors Inc.'|building envelope|false
Summit Engineering, Inc.|Summit Engineering, Inc.|KY|1|2|37|67651|610991104|'Summit Engineering Consulting'|summit engineering|false
Restoration Services Inc.|Restoration Services Inc.|TX|1|2|117|155952|760044493|'Restoration Services Inc.'|restoration|false
Wayne's Roofing, Inc.|Wayne's Roofing, Inc.|WA|1|2|127|212937|910949176|'Wayne's Roofing Inc.'|wayne's roofing|false
Webco Oklahoma Distribution|Webco Industries|OK|1|2|51|109447|731097133|'WEBCO Services LLC'|webco|false
Webco - Texas Distribution|Webco Industries|TX|1|2|34|70779|731097133|'WEBCO Services LLC'|webco|false
Service Roofing & Sheet Metal Co.|Service Roofing & Sheet Metal Co.|NC|1|2|33|60850|561081076|'Service Roofing & Sheet Metal Company'|service roofing & sheet metal|false
atlas|atlas roofing corporation|TX|1|2|46|102608|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Carlisle Polyurethane Systems - Emerson|Carlisle Construction Materials|GA|1|1|8|16461|464319816|'Carlisle Construction Materials'|carlisle construction materials|false
Ashland|Boyd Company|KY|1|2|50|102146|610401854|'Boyd Inc.'|boyd|false
Beckley|Boyd Company|WV|1|2|59|137291|610401854|'Boyd Inc.'|boyd|false
Belle|Boyd Company|WV|1|2|101|212976|610401854|'Boyd Inc.'|boyd|false
Brandenburg|Boyd Company|KY|1|1|3|5220|610401854|'Boyd Inc.'|boyd|false
Bowling Green|Boyd Company|KY|1|2|44|91891|610401854|'Boyd Inc.'|boyd|false
Corbin|Boyd Company|KY|1|2|69|143013|610401854|'Boyd Inc.'|boyd|false
Dry Ridge|Boyd Company|KY|1|1|16|31978|610401854|'Boyd Inc.'|boyd|false
Elizabethtown|Boyd Company|KY|1|2|28|58056|610401854|'Boyd Inc.'|boyd|false
Evansville|Boyd Company|IN|1|2|72|150993|610401854|'Boyd Inc.'|boyd|false
Hopkinsville|Boyd Company|KY|1|1|14|27270|610401854|'Boyd Inc.'|boyd|false
Beckley Hydraulic|Boyd Company|WV|1|2|20|39586|610401854|'Boyd Inc.'|boyd|false
Jackson|Boyd Company|OH|1|1|11|22226|610401854|'Boyd Inc.'|boyd|false
Jeffersonville|Boyd Company|IN|1|1|19|37876|610401854|'Boyd Inc.'|boyd|false
Jeffersontown|Boyd Company|KY|1|2|35|71899|610401854|'Boyd Inc.'|boyd|false
Lexington|Boyd Company|KY|1|2|120|251433|610401854|'Boyd Inc.'|boyd|false
Louisville|Boyd Company|KY|1|2|168|322169|610401854|'Boyd Inc.'|boyd|false
Louisville Support Center|Boyd Company|KY|1|2|131|243456|610401854|'Boyd Inc.'|boyd|false
Nitro|Boyd Company|WV|1|2|40|76635|610401854|'Boyd Inc.'|boyd|false
Paducah|Boyd Company|KY|1|2|56|123498|610401854|'Boyd Inc.'|boyd|false
Parkersburg|Boyd Company|WV|1|2|27|53361|610401854|'Boyd Inc.'|boyd|false
Pikeville|Boyd Company|KY|1|2|90|196017|610401854|'Boyd Inc.'|boyd|false
JM Manufacturing|JM Manufacturing|PA|1|2|124|274272|940895616|'JM Contractors Inc'|jm|false
Carlson Racine Roofing and Sheet Metal Inc.|Carlson Racine Roofing and Sheet Metal Inc.|WI|1|2|46|72697|390833065|'Carlson Racine Roofing and Sheet Metal Inc.'|carlson racine roofing and sheet metal|false
Kingsley Plant|Milliken & Company|GA|1|2|122|260076|510105342|'Milliken & Company'|milliken &|false
Owens Corning Gastonia|Owens Corning|NC|1|2|88|180863|743189734|'Owens Corning'|owens corning|false
River Roofing Inc.|River Roofing Inc.|OR|1|2|36|60354|931046398|'River Roofing Inc.'|river roofing|false
UNITED CONSTRUCTION CORP|UNITED CONSTRUCTION CORP|NH|1|2|42|88273|20257849|'United Contractors'|united|false
United Group Services|United Group Services|OH|1|3|257|718732|311035659|'United Contractors'|united|false
Elite Welding Academy|United Group Services|OH|1|1|17|38935|510606029|'United Contractors'|united|false
Tiffin OH Soltech Owens Corning|Owens Corning|OH|1|2|65|131817|432109021|'Owens Corning'|owens corning|false
TMJ Construction Services|TMJ Construction Services|IA|1|2|19|45814|542149654|'TMJ Construction Services LLC'|tmj|false
OSHAA 300A|Monarch Construction|OH|2|2|62|114154|311122357|'Monarch Consulting Services'|monarch|false
Griffith Roofing Co.|Griffith Roofing Co.|OR|1|2|40|69578||'Griffith Roofing Co.'|griffith roofing|false
Bell Roof Company|Bell Roof Company|CA|1|2|31|51911|951620634|'Bell Roof Co.'|bell roof|false
Service Roofing Company|Service Roofing Company|IA|1|2|24|32349|420895028|'Service Roofing Co.'|service roofing|false
IRS Jackson|Independent Roofing Systems|MS|1|2|150|343318|640657679|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing|true
Conklin Company Inc.|Conklin Company Inc|MN|1|2|45|94000|410754077|'Conklin Co. Inc.'|conklin|false
TW Metals - STP|O'Neal Industries|NJ|1|2|23|49946|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cranbury|O'Neal Industries|NJ|1|2|30|66677|464009440|'O'Neal Construction'|o'neal|false
WATER CONTROL ROOFING COMPANY INC|WATER CONTROL ROOFING COMPANY INC|TN|1|2|31|53400|621225632|'Water Control Roofing Co.'|water control roofing|false
TW Metals - Wichita|O'Neal Industries|KS|1|2|46|98000|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Seattle|O'Neal Industries|WA|1|2|38|79808|464009440|'O'Neal Construction'|o'neal|false
TW Metals - LA|O'Neal Industries|CA|1|2|60|132466|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Exton|O'Neal Industries|PA|1|2|99|206294|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Cincinnati|O'Neal Industries|OH|1|2|30|66911|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Carol Stream|O'Neal Industries|IL|1|2|96|226340|464009440|'O'Neal Construction'|o'neal|false
TW Metals - Atlanta|O'Neal Industries|GA|1|2|38|81623|464009440|'O'Neal Construction'|o'neal|false
Celoseal Roofing Inc.|Celoseal Roofing Inc.|CA|1|2|46|60143|952647166|'Celoseal Roofing Inc.'|celoseal roofing|false
John A. Dalsin & Son Inc|John A. Dalsin & Son Inc|MN|1|2|75|127537|411408661|'John A. Dalsin & Son Inc.'|john a. dalsin & son|false
McPhillips Bros. Roofing Co|McPhillips Bros. Roofing Co|MN|1|2|42|40794|411521988|'McPhillips Bros. Roofing Co.'|mcphillips bros. roofing|false
Paradise Valley Office Bldg A|Ari|AZ|1|2|89|178000||'ARI Consulting Services Corp'|ari|false
Delta Contracting Inc.|Delta Contracting Inc.|NC|1|2|120|283264|561880490|'Delta Contracting Services Inc.'|delta contracting|false
ASPEN MANUFACTURING LLC|ASPEN MANUFACTURING LLC|TX|1|3|369|1050835|453120278|'Aspen Group'|aspen|false
Schulte Roofing|Schulte Roofing|TX|1|2|26|51135|810555670|'Schulte Roofing Inc.'|schulte roofing|false
Palmer Services LLC|Palmer Services LLC|TX|1|2|32|68135|308939364|'Palmer Construction'|palmer|false
CRW Inc|CRW Inc|OH|1|2|60|124407|341576048|'CRW Inc.'|crw|false
Western Building Group|BEMO USA|AZ|1|2|136|284382|261333411|'BEMO USA Corp.'|bemo usa|false
Continental Tire the Americas LLC - Sumter Plant|Continental Tire the Americas LLC|SC|1|3|1327|2886617||'Continental Tire the Americas LLC.'|continental tire the americas|false
HRGM Corporation|HRGM Corporation|DC|1|2|55|92669|541144392|'HRGM Corp.'|hrgm|false
GSM Roofing|GSM Roofing|PA|1|2|102|197551|232553249|'GSM Roofing'|gsm roofing|false
NY|Neth & Son Inc|NY|1|2|110|135100|161010131|'Neth & Son Inc.'|neth & son|false
OC -  Delmar, NY|Owens Corning|NY|1|3|310|460790||'Owens Corning'|owens corning|false
The Roofing Company Inc|The Roofing Company Inc|CA|1|2|45|184817132||'The Roofing Company Inc.'|the roofing|false
Quality Roofing Contractors of Southeast Missouri, Inc.|Quality Roofing Contractors of Southeast Missouri, Inc.|MO|1|2|88|179438|431200791|'Quality Roofing Contractors of Southeast Missouri Inc.'|quality roofing contractors of southeast missouri|false
Fort-Cica Roofing & general Contractors|Fort-Cica Roofing & general Contractors|NY|1|2|32|61447|131763196|'Fort-Cica Roofing & General Contractors Inc.'|fort-cica roofing & general|false
Schefers Roofing Co|Schefers Roofing Co.|MO|1|2|65|127717|431715763|'Schefers Roofing Co.'|schefers roofing|false
Schefers Roofing Company|Schefers Roofing Company|AR|1|2|25|29245|113833862|'Schefers Roofing Co.'|schefers roofing|false
Schefers Construction Services|SCHEFERS ROOFING|MO|1|1|4|1098|202556779|'Schefers Roofing Co.'|schefers roofing|false
OKC - Star Center Tube|Webco Industries Inc.|OK|1|2|225|485359|731097133|'WEBCO Services LLC'|webco|false
Armstrong International - Three Rivers Division|Armstrong International Inc.|MI|1|2|304|588437|380308010|'Armstrong Group Inc.'|armstrong|false
CertainTeed|CertainTeed|PA|1|2|81|109196|232510893|'CertainTeed LLC'|certainteed|false
Capitol Roofing Inc.|Capitol Roofing Inc.|WY|1|2|22|52000|830328938|'Capitol Roofing Inc.'|capitol roofing|false
The Brewer Company|The Brewer Company|WI|1|2|118|232821|391979518|'The Brewer Co.'|the brewer|false
GUNTER CONSTRUCTION ROOFING, INC.|GUNTER CONSTRUCTION ROOFING, INC.|KY|1|2|33|66321|611065364|'Gunter Construction Roofing Inc.'|gunter construction roofing|false
The Ray Company, Inc.|The Ray Company, Inc.|NC|1|2|17|32652|560482744|'The RAY Company, Inc.'|the ray company|false
Aavid Thermalloy|Boyd Corporation|NH|1|2|130|261303||'Boyd Inc.'|boyd|false
1100|CentiMark Corporation|CT|1|2|57|69950|251194990|'CentiMark Corporation'|centimark|false
1400|CentiMark Corporation|PA|1|2|69|82423|251194990|'CentiMark Corporation'|centimark|false
1500|CentiMark Corporation|VA|1|2|54|70914|251194990|'CentiMark Corporation'|centimark|false
1800|CentiMark Corporation|MA|1|2|74|104648|251194990|'CentiMark Corporation'|centimark|false
1900|CentiMark Corporation|NJ|1|2|76|113876|251194990|'CentiMark Corporation'|centimark|false
2100|CentiMark Corporation|OH|1|2|41|52538|251194990|'CentiMark Corporation'|centimark|false
2200|CentiMark Corporation|OH|1|2|44|57709|251194990|'CentiMark Corporation'|centimark|false
2210|CentiMark Corporation|IN|1|2|35|42443|251194990|'CentiMark Corporation'|centimark|false
2220|CentiMark Corporation|OH|1|2|40|75203|251194990|'CentiMark Corporation'|centimark|false
2250|CentiMark Corporation|IN|1|2|42|56660|251194990|'CentiMark Corporation'|centimark|false
5310|CentiMark Corporation|OR|1|2|50|72652|251194990|'CentiMark Corporation'|centimark|false
5350|CentiMark Corporation|AZ|1|2|91|122476|251194990|'CentiMark Corporation'|centimark|false
5400|CentiMark Corporation|CO|1|2|58|86046|251194990|'CentiMark Corporation'|centimark|false
East Moline IIllinois|Atlas Roofing|IL|1|2|43|102627||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Anderson Construction Company of Fort Gaines|Anderson Construction Company|GA|1|2|104|196906|580974798|'Anderson Associates'|anderson|false
1300|CentiMark Corporation|MD|1|2|62|85280|251194990|'CentiMark Corporation'|centimark|false
2400|CentiMark Corporation|MI|1|2|30|38350|251194990|'CentiMark Corporation'|centimark|false
4110|CentiMark Corporation|AL|1|2|54|89037|251194990|'CentiMark Corporation'|centimark|false
2600|CentiMark Corporation|IL|1|2|58|79904|251194990|'CentiMark Corporation'|centimark|false
2630|CentiMark Corporation|IA|1|2|22|26287|251194990|'CentiMark Corporation'|centimark|false
GKL Companies|GKL Companies, Inc.|AL|1|2|16|32101|631050305|'GKL Companies Inc.'|gkl companies|false
Fort Smith Plant|Owens Corning|AR|1|2|88|126096||'Owens Corning'|owens corning|false
Patriot Roofing|Patriot Roofing|WA|1|2|56|116512|454206993|'Patriot Roofing', 'Patriot Roofing LLC'|patriot roofing|true
Academy Roofing Inc.|Academy Roofing Inc.|CO|1|2|78|167194|840858941|'Academy Roofing Inc.'|academy roofing|false
Stiles Roofing Inc|Stiles Roofing Inc|MO|1|2|37|62473||'Stiles Roofing Inc.'|stiles roofing|false
NMS 100 Hecate|McCarthy Building Companies, Inc.|OH|1|2|29|60305|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Calhoun|McCarthy Building Companies, Inc.|MI|1|2|244|507878|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Arrow Canyon|McCarthy Building Companies, Inc.|NV|1|2|97|202176|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Banner Gateway Expansion|McCarthy Building Companies, Inc.|AZ|1|2|52|107188|430399290|'McCarthy Building Companies'|mccarthy building companies|false
PSHIA T4-S1|McCarthy Building Companies, Inc.|AZ|1|2|20|42639|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Mayo Clinic East Expansion|McCarthy Building Companies, Inc.|AZ|1|2|43|89763|430399290|'McCarthy Building Companies'|mccarthy building companies|false
APS HUBwest|McCarthy Building Companies, Inc.|AZ|1|2|42|86499|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Maple Flats|McCarthy Building Companies, Inc.|IL|1|2|157|327387|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Bright Arrow|McCarthy Building Companies, Inc.|TX|1|2|166|345472|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Phoenix Office|McCarthy Building Companies, Inc.|AZ|1|3|268|556888|430399290|'McCarthy Building Companies'|mccarthy building companies|false
U of A - Applied Research Building|McCarthy Building Companies, Inc.|AZ|1|2|32|65745|430399290|'McCarthy Building Companies'|mccarthy building companies|false
ASU Mill Avenue Garage|McCarthy Building Companies, Inc.|AZ|1|2|26|53916|430399290|'McCarthy Building Companies'|mccarthy building companies|false
YUHSD - Somerton High School|McCarthy Building Companies, Inc.|AZ|1|2|32|66867|430399290|'McCarthy Building Companies'|mccarthy building companies|false
NW Ph II Light Rail Expansion|McCarthy Building Companies, Inc.|AZ|1|2|17|35311|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Rabbitbrush 1 & 2 Solar|McCarthy Building Companies, Inc.|CA|1|2|35|73286|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Chaparral Springs Solar|McCarthy Building Companies, Inc.|CA|1|2|72|149593|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Continental Tire The Americas, LLC|Continental Tire The Americas, LLC|MS|2|3|661|1334060|341417030|'Continental Tire the Americas LLC.'|continental tire the americas|false
Sun Mountain Solar 1|McCarthy Building Companies, Inc.|CO|1|2|228|474162|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Willowbrook Solar|McCarthy Building Companies, Inc.|OH|1|2|60|123784||'McCarthy Building Companies'|mccarthy building companies|false
Bighorn Metalworks, Inc.|Bighorn Metalworks, Inc.|CO|1|1|18|33484||'Bighorn Metalworks Inc.'|bighorn metalworks|false
Agave Solar|McCarthy Building Companies, Inc.|AZ|1|2|126|262626|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Cattlemen 1 Solar|McCarthy Building Companies, Inc.|TX|1|2|31|64992|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Horizon Solar|McCarthy Building Companies, Inc.|TX|1|2|42|87062|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Sioux Falls WRF|McCarthy Building Companies, Inc.|SD|1|2|37|77749|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Chandler WRF Improvements|McCarthy Building Companies, Inc.|AZ|1|2|49|102118|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Chandler Yard|McCarthy Building Companies, Inc.|AZ|1|2|27|56149|430399290|'McCarthy Building Companies'|mccarthy building companies|false
23rd Ave WWTP|McCarthy Building Companies, Inc.|AZ|1|2|21|42682|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Binghamton Slag Roofing Co Inc|Binghamton Slag Roofing Co Inc|NY|1|2|25|40344|150246460|'Binghamton Slag Roofing Co. Inc.'|binghamton slag roofing|false
Owens Corning|Owens Corning|SC|1|2|40|85621||'Owens Corning'|owens corning|false
2650|CentiMark Corporation|WI|1|2|30|44268|251194990|'CentiMark Corporation'|centimark|false
2700|CentiMark Corporation|KS|1|2|50|61950|251194990|'CentiMark Corporation'|centimark|false
2800|CentiMark Corporation|MO|1|2|38|58407|251194990|'CentiMark Corporation'|centimark|false
2701|CentiMark Corporation|NE|1|2|35|50322|251194990|'CentiMark Corporation'|centimark|false
2900|CentiMark Corporation|PA|1|2|62|70301|251194990|'CentiMark Corporation'|centimark|false
2300|CentiMark Corporation|MI|1|2|26|34791|251194990|'CentiMark Corporation'|centimark|false
2910|CentiMark Corporation|NY|1|2|44|63811|251194990|'CentiMark Corporation'|centimark|false
3450|CentiMark Corporation|TN|1|2|47|83248|251194990|'CentiMark Corporation'|centimark|false
3600|CentiMark Corporation|TX|1|2|82|100507|251194990|'CentiMark Corporation'|centimark|false
4100|CentiMark Corporation|GA|1|2|79|112961|251194990|'CentiMark Corporation'|centimark|false
3610|CentiMark Corporation|TX|1|2|78|140245|251194990|'CentiMark Corporation'|centimark|false
4210|CentiMark Corporation|NC|1|2|63|100073|251194990|'CentiMark Corporation'|centimark|false
4300|CentiMark Corporation|NC|1|2|105|178863|251194990|'CentiMark Corporation'|centimark|false
4400|CentiMark Corporation|TN|1|2|34|53673|251194990|'CentiMark Corporation'|centimark|false
Rackley Roofing Co Inc|Rackley Roofing Co Inc|TN|1|2|123|259709|620932570|'Rackley Roofing Co. Inc.'|rackley roofing|false
4750|CentiMark Corporation|FL|1|2|81|113304|251194990|'CentiMark Corporation'|centimark|false
4800|CentiMark Corporation|FL|1|2|36|67026|251194990|'CentiMark Corporation'|centimark|false
5110|CentiMark Corporation|ID|1|2|36|96482|251194990|'CentiMark Corporation'|centimark|false
Dynamic Metals Goup|Dynamic Metals, LLC|IN|1|2|144|241852|900106552|'Dynamic Metals'|dynamic metals|false
Independent Roofing Company Inc|Independent Roofing Company Inc|NE|1|2|31|49088|470410807|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing|true
Mountain States Roofing, Incorporated|Mountain States Roofing, Incorporated|ID|1|2|42|70303|261702268|'Mountain States Roofing Inc.'|mountain states roofing|false
Milliken & Company Dewey Plant|Milliken & Company|SC|1|2|157|337970|510105342|'Milliken & Company'|milliken &|false
Jim Murray Roofing, Inc.|Jim Murray Roofing, Inc.|CA|1|2|40|72369|814059502|'Jim Murray Roofing Inc'|jim murray roofing|false
Great Lakes Roofing Corp - Menasha|Great Lakes Roofing Corporation|WI|1|2|20|40490|391583074|'Great Lakes Roofing Corp.'|great lakes roofing|false
Great Lakes Roofing Corp - Madison|Great Lakes Roofing Corporation|WI|1|2|23|39761|391583074|'Great Lakes Roofing Corp.'|great lakes roofing|false
D&L Roofing, LLC|D&L Roofing, LLC|NV|1|2|61|86638|272001551|'D&L Roofing LLC'|d&l roofing|false
Warren Construction & Roofing, Inc|Warren Construction & Roofing, Inc|CA|1|2|32|57054|202626621|'Warren Construction & Roofing Inc.'|warren construction & roofing|false
Quincy 2|Royal Technologies|MI|1|1|31|48167|382726351|'Royal industries LLC'|royal|false
Highland|Royal Technologies|MI|1|2|32|49024|382726351|'Royal industries LLC'|royal|false
Royal Center|Royal Technologies|MI|1|2|139|272141|382726351|'Royal industries LLC'|royal|false
Cullman|Royal Technologies|MI|1|2|215|396519|382726351|'Royal industries LLC'|royal|false
Mission|Royal Technologies|MI|1|2|138|292158|382726351|'Royal industries LLC'|royal|false
Corp Grove|Royal Technologies|MI|1|3|264|525835|382726351|'Royal industries LLC'|royal|false
Quincy|Royal Technologies|MI|1|3|369|758130|382726351|'Royal industries LLC'|royal|false
Architectural Sheet Metal, Inc.|Architectural Sheet Metal, Inc.|FL|1|2|34|74622|593178660|'Architectural Sheet Metal Inc.'|architectural sheet metal|false
Crescent Park Corporation - C-11|Crescent Corporation|OH|1|2|287|526488|311222308|'Crescent Construction Services'|crescent|false
Superior Roofing, Inc.|Superior Roofing, Inc.|CO|1|2|72|142272|840917537|'Superior Roofing Inc.', 'Superior Roofing LLC', 'Superior Roofing Services Inc.', 'Superior Roofing Systems Inc.'|superior roofing|true
Owens Corning|Owens Corning|OR|1|2|47|87674|383737830|'Owens Corning'|owens corning|false
Bonitz of Georgia|Bonitz of Georgia|GA|1|2|35|82104|581897306|'Bonitz of Georgia Inc.'|bonitz of georgia|false
Markham Building|Village Associates|WI|1|2|23|50691||'Village Management Services Inc.'|village|false
Molloy Roofing Company|Molloy Roofing Company|OH|1|2|51|98138|310787317|'Molloy Roofing Co.'|molloy roofing|false
