company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
Patriot Roofing, Inc.|223101327, 223101723|0|0|0|244|0|0|0|0|306046|0||||Patriot Roofing LLC||Patriot Roofing, Inc.|patriot roofing
Patton Developments, Inc. dba NorCal Roofing|881091741|0|0|0|30|0|0|0|0|40500|0||||||Patton Developments, Inc. dba NorCal Roofing|patton developments inc. dba norcal roofing
Patuxent Roofing and Contracting||0|0|0|131|345|0|0|0|274016|533602||||||Patuxent Roofing and Contracting|patuxent roofing & contracting
Paul Crandall & Associates Inc|391615863|25|0|0|24|0|44804|0|0|33807|0||||Paul Crandall & Associates Inc.||Paul Crandall & Associates Inc|paul crandall
Paul Saunders Roofing Co Inc|541451205|0|27|25|25|25|0|40379|30078|31757|31806||||||Paul Saunders Roofing Co Inc|paul saunders roofing
Peach State Roofing, Inc.|581920786|63|54|45|0|53|121343|96974|91724|0|105871||||Peach State Roofing Inc.||Peach State Roofing, Inc.|peach state roofing
Peak Fall Protection|834483965|55|46|48|0|0|114770|97012|90341|0|0||||||Peak Fall Protection|peak fall protection
Peak Roofing, Inc.||0|0|0|0|70|0|0|0|0|149217|www.peakroofingpartners.com|Peak Roofing Partners||Peak Roofing Inc.||Peak Roofing, Inc.|peak roofing
Pearce-Blackburn Roofing|200894682|26|24|23|27|27|46927|38285|39608|52219|52399||||||Pearce-Blackburn Roofing|pearce-blackburn roofing
Peck Brothers LLC|208214177|0|0|44|0|0|0|0|52632|0|0||||||Peck Brothers LLC|peck brothers
Pelican Roofing Company LLC|455613203|0|32|22|29|0|0|66560|45760|60320|0||||||Pelican Roofing Company LLC|pelican roofing
Penn Exterior Restoration, LLC|842818068|0|0|0|31|37|0|0|0|63440|73336||||||Penn Exterior Restoration, LLC|penn exterior restoration
Pennsylvania Roofing Systems, Inc.|251339595|0|0|0|64|64|0|0|0|104942|121708||||||Pennsylvania Roofing Systems, Inc.|pennsylvania roofing
Peoplease|582275794|0|0|17|0|0|0|0|34493|0|0||||||Peoplease|peoplease
Performance Roofing Systems, Inc.|391698070|0|36|32|31|0|0|66103|59888|60773|0||||Performance Roofing Systems Inc.||Performance Roofing Systems, Inc.|performance roofing
Performance Roofing dba A-Best Roofing|731325517|51|0|0|49|51|89879|0|0|100650|3290||||||Performance Roofing dba A-Best Roofing|performance roofing dba a-best roofing
Peterson Brother's Roofing and Construction, Inc.|411351452|35|0|43|42|45|52748|0|58474|63628|64951||||||Peterson Brother's Roofing and Construction, Inc.|peterson brother's roofing
Peterson Roofing Company of Olean NY Inc.|160850890|12|12|12|0|0|22831|25979|30297|0|0||||||Peterson Roofing Company of Olean NY Inc.|peterson roofing company of olean ny
Peterson Roofing LLC.|934585699|0|0|0|0|38|0|0|0|0|25793|www.petersonroofingca.com|Peterson Roofing (Roofing Services)||||Peterson Roofing LLC.|peterson roofing
Pfeifer Roofing, Inc.|931225470|58|65|74|77|66|124775|136327|142446|167900|127790||||Pfeifer Roofing Inc.||Pfeifer Roofing, Inc.|pfeifer roofing
Pfister Maintenance|223311584|33|32|28|19|0|56730|45619|42923|24314|0||||||Pfister Maintenance|pfister maintenance
Phinney Industrial Roofing Inc|341478040|27|28|0|24|24|43503|50757|0|43249|46410||||Phinney Industrial Roofing Inc.||Phinney Industrial Roofing Inc|phinney industrial roofing
Phinney Industrial Roofing Services & Maintenance, LLC|261519796|0|0|0|21|21|0|0|0|42531|42986||||||Phinney Industrial Roofing Services & Maintenance, LLC|phinney industrial roofing services & maintenance
Phinney Industrial Sheet Metal LLC|311750669|0|0|0|9|0|0|0|0|20103|0||||||Phinney Industrial Sheet Metal LLC|phinney industrial sheet metal
Phoenix Exteriors LLC|208593669|34|47|0|0|0|68072|61608|0|0|0||||||Phoenix Exteriors LLC|phoenix exteriors
Phoenix Roofing Co., Inc.|251688906|0|48|97|75|90|0|85737|108500|101120|137898||||||Phoenix Roofing Co., Inc.|phoenix roofing
Pickard Roofing Co., inc.|561317669|18|23|13|13|18|33441|34872|29143|25184|28387||||Pickard Roofing Co. Inc.||Pickard Roofing Co., inc.|pickard roofing
Pickens Contracting, Inc.|570481031|0|86|67|84|87|0|194683|139193|183100|222037||||Pickens Contracting Inc.||Pickens Contracting, Inc.|pickens contracting
Pieros Roofing, a Tecta America Company|932888481|0|0|0|36|35|0|0|0|22559|66005||||Pieros Roofing, a Tecta America Co., LLC||Pieros Roofing, a Tecta America Company|pieros roofing a tecta america
Pine Roofing Company, Inc.|361628895|0|0|0|88|67|0|0|0|168247|116518||||Pine Roofing Co. Inc.||Pine Roofing Company, Inc.|pine roofing
Pinnacle Pro Roofing|465406460|0|26|26|26|0|0|43721|44403|238160|0||||||Pinnacle Pro Roofing|pinnacle pro roofing
Pinnacle Roofing Group|844581614|0|0|23|0|25|0|0|41000|0|35000|www.pinnacleroofing.com|Pinnacle Roofing Contractors||Pinnacle Roofing||Pinnacle Roofing Group|pinnacle roofing
Pioneer Roofing, A Tecta America Company, LLC|874105658|0|0|55|51|51|0|0|80767|96983|101277||||Pioneer Roofing, a Tecta America Company, LLC||Pioneer Roofing, A Tecta America Company, LLC|pioneer roofing a tecta america
Pioneer Roofing, LLC|134225857|0|0|29|0|0|0|0|12982|0|0|pioneerroofing.com|Pioneer Roofing Systems||Pioneer Roofing Systems Inc.||Pioneer Roofing, LLC|pioneer roofing
Pittman Waller Roofing Co|581812458|28|25|0|0|42|45886|39381|0|0|64172|www.pittmanwaller.com|Pittman Waller Roofing Company||Pittman Waller Roofing Co. Inc.||Pittman Waller Roofing Co|pittman waller roofing
Platinum Roofing, LLC|472769625|32|33|43|76|88|61639|90625|128012|110402|134509|www.platinumroofingmi.com|Platinum Roofing (Commercial Roofing)|Platinum Roofing Solutions, Inc.|Platinum Roofing Solutions INC||Platinum Roofing, LLC|platinum roofing
Poly Vinyl Roofing|391899682|0|0|20|20|26|0|0|34685|38023|38566||||||Poly Vinyl Roofing|poly vinyl roofing
Poole Roofing Co., Inc|721213486|0|0|12220|6|0|0|0|11473|11621|0||||||Poole Roofing Co., Inc|poole roofing
Port Enterprises, Ltd|741975498|40|10|35|130|56|114400|20800|87984|310946|92197|www.portroofing.com|Port Enterprises||Port Enterprises Ltd.|Port.|Port Enterprises, Ltd|port
Porter Roofing Contractors Inc.|621037198|22|0|0|0|195|60933|0|0|0|478863|porter-roofing.com|Porter Roofing Contractors||Porter Roofing Contractors Inc.||Porter Roofing Contractors Inc.|porter roofing
Portland Painting and Construction|461425142|0|0|0|0|20|0|0|0|0|35525||||||Portland Painting and Construction|portland painting
Prate Roofing & Installations, PLLC|900947274|16|16|0|0|14|27210|27125|0|0|23109||||||Prate Roofing & Installations, PLLC|prate roofing & installations
Pratt & Whitney|363556097|0|0|0|61|0|0|0|0|903|0||||||Pratt & Whitney|pratt & whitney
Prattco Inc|593352522|35|32|52|24|22|39258|37305|32469|33994|23522||||||Prattco Inc|prattco
Preferred Construction Services, Inc.||0|34|38|43|45|0|69469|79314|92738|94676||||Preferred Construction Services Inc.||Preferred Construction Services, Inc.|preferred
Preferred, Inc. - Fort Wayne|352062372|95|0|110|115|120|171929|0|204785|238838|253823||||Preferred Inc. - Fort Wayne||Preferred, Inc. - Fort Wayne|preferred inc. - fort wayne
Premier Building Associates LLC.|475311086|0|0|0|0|52|0|0|0|0|108683||||||Premier Building Associates LLC.|premier building
Premier Contracting, Inc.|481162686|0|0|0|39|31|0|0|0|79476|61250||||Premier Contracting Inc.||Premier Contracting, Inc.|premier contracting
Premier Roofing & Waterproofing, LLC|61763117|0|0|0|20|0|0|0|0|37390|0||||||Premier Roofing & Waterproofing, LLC|premier roofing & waterproofing
Premier Roofing CA, Inc.|800174015|0|0|0|0|48|0|0|0|0|93922||||||Premier Roofing CA, Inc.|premier roofing ca
Premier Roofing Company|651261019|75|296|197|185|0|3000|717650|563420|427382|0|premierroofingbristol.co.uk|Premier Roofing Services (Bristol)||||Premier Roofing Company|premier roofing
Premiere  Roofing and Gutters  LLC|844486641|0|0|0|3|0|0|0|0|3917|0||||Premiere Roofing and Gutters||Premiere  Roofing and Gutters  LLC|premiere roofing & gutters
Preservation Services, Inc.|363833640|19|0|23|25|18|36343|0|43512|43793|34925||||||Preservation Services, Inc.|preservation
Pressure Point Roofing|931052886|35|0|41|45|49|77871|0|85076|91740|98674||||Pressure Point Roofing||Pressure Point Roofing|pressure point roofing
Prestige Painting Worldwide|822572068|0|0|0|0|4|0|0|0|0|43992||||||Prestige Painting Worldwide|prestige painting
Prestige Roofing Inc.|880364374|0|0|0|0|69|0|0|0|0|154034|prestigeroofingok.com|Prestige Roofing Contractors||||Prestige Roofing Inc.|prestige roofing
Prieto's Roof Removal|272362908|7|13|0|0|0|50744|106223|0|0|0||||||Prieto's Roof Removal|prieto's roof removal
Primus Consulting LLC|831855227|0|0|0|4|0|0|0|0|2096|0||||||Primus Consulting LLC|primus
Pro Finish Painting, Inc.|208690058|0|0|0|24|0|0|0|0|55817|0||||||Pro Finish Painting, Inc.|pro finish painting
Procon Roofing Corporation|851580344|0|29|31|22|27|0|80890|55403|70693|93707||||||Procon Roofing Corporation|procon roofing
Professional Roofing Services, INC|203881005|27|0|21|0|19|59685|0|44680|0|40086|www.denniscookroofing.com|Professional Roofing Services||||Professional Roofing Services, INC|professional roofing
Professional Roofing Svc.Inc.||26|0|0|0|0|31372|0|0|0|0||||||Professional Roofing Svc.Inc.|professional roofing svc.inc
Professional Sunshine Roofing, Inc.|208422845|0|0|75|40|56|0|0|75000|85000|116480||||||Professional Sunshine Roofing, Inc.|professional sunshine roofing
Progressive Roofing Inc.|43425540|0|0|14|0|0|0|0|26810|0|0|www.progressiveroofing.us|Progressive Roofing||Progressive Roofing Services||Progressive Roofing Inc.|progressive roofing
Progressive Services Inc.||20|0|0|0|0|30157|0|0|0|0||||||Progressive Services Inc.|progressive
Propel Consulting Group LLC dba Roofco Group|471498168|0|0|0|52|93|0|0|0|94235|108299||||||Propel Consulting Group LLC dba Roofco Group|propel consulting group llc dba roofco
Protech Roofing Systems LLC|274452657|0|54|0|59|50|0|104105|0|119250|108874|www.hernandoroofer.com|Protech Roofing Services||PROTECH Roofing Solutions||Protech Roofing Systems LLC|protech roofing
Provincial South Inc. dba PSI Roofing|650531905|59|52|0|0|0|85205|116923|0|0|0||||||Provincial South Inc. dba PSI Roofing|provincial south inc. dba psi roofing
Prowest, LLC|320455114|0|16|0|40|0|0|31616|0|135039|0|www.prowest.com|ProWest||||Prowest, LLC|prowest
Pulver Roofing Company, Inc.|150538539|35|35|0|40|40|73505|65352|0|82684|61414||||||Pulver Roofing Company, Inc.|pulver roofing
Pyramid Roofing and Sheet Metal Co., Inc.|161004789|1|0|0|0|0|26484|0|0|0|0||||||Pyramid Roofing and Sheet Metal Co., Inc.|pyramid roofing & sheet metal
QA Roofing|371828616|0|0|0|6|6|0|0|0|9103|12480||||||QA Roofing|qa roofing
Quality Metals, Inc.||34|25|25|23|0|71946|48311|54365|46844|0||||||Quality Metals, Inc.|quality metals
Quality Roofers and Guttering, Inc|561548973|39|32|25|28|0|63747|51854|39860|46467|0||||||Quality Roofers and Guttering, Inc|quality roofers & guttering
Quality Roofing Contractors of Southeast Missouri, Inc.|431200791|0|0|88|97|0|0|0|179438|226193|0||||Quality Roofing Contractors of Southeast Missouri Inc.||Quality Roofing Contractors of Southeast Missouri, Inc.|quality roofing contractors of southeast missouri
Quality Roofing Solutions LLC|412227282|0|0|0|0|43|0|0|0|0|72697|qroof.com|Quality Roofing||Quality Roofing Solutions LLC||Quality Roofing Solutions LLC|quality roofing
Quality Tile Roofing, Inc.|820313606|30|30|22|16|0|60655|53727|40477|29733|0||||||Quality Tile Roofing, Inc.|quality tile roofing
Queen City Roofing & Contracting Company, Inc.|440593879|0|52|50|48|0|0|99252|87015|80312|0||||||Queen City Roofing & Contracting Company, Inc.|queen city roofing & contracting
R & C Roofing Inc|800628673|122|115|140|153|150|218319|170620|246401|289752|290550||||||R & C Roofing Inc|r & c roofing
R HAUPT ROOFING CONSTRUCTION INC.|30413263|0|0|16|36|0|0|0|26634|57032|0||||||R HAUPT ROOFING CONSTRUCTION INC.|r haupt roofing
R&B Roofing LLC|571155052|172|160|148|221|183|361521|334573|309028|438591|386374||||R&B Roofing LLC||R&B Roofing LLC|r & b roofing
R&S Construction Services Inc.|061039729|0|0|0|0|36|0|0|0|0|66476||||R&S Construction Services Inc.||R&S Construction Services Inc.|r & s
R. D. Bean Inc.||96|83|89|69|0|218036|193247|214072|153675|0||||||R. D. Bean Inc.|r. d. bean
R.B. Crowther Company, Inc.|364352872|0|0|18|17|17|0|0|29525|28520|29540||||||R.B. Crowther Company, Inc.|r.b. crowther
R.B. Hash & Associates, Inc.|760330682|70|73|82|92|90|146455|152217|162269|187456|193172||||R.B. Hash & Associates Inc.||R.B. Hash & Associates, Inc.|r.b. hash
R.F. Lusa and Son's Sheetmetal inc.|592684365|45|47|49|0|0|141689|134391|128109|0|0||||||R.F. Lusa and Son's Sheetmetal inc.|r.f. lusa & son's sheetmetal
R.G Gutter Services Inc.|842012255|0|0|27|0|0|0|0|18463|0|0||||||R.G Gutter Services Inc.|r.g gutter
R.G. Smith Company Inc.|340664464|0|0|24|24|30|0|0|29573|38300|39734||||||R.G. Smith Company Inc.|r.g. smith
R.K. Elite Hydrovac Services Inc. / NC|561387327|44|44|44|44|44|84398|83716|86924|64964|93511||||||R.K. Elite Hydrovac Services Inc. / NC|r.k. elite hydrovac services inc. / nc
R.M. COATS CONSTRUCTION, INC.|650827568|19|21|23|44|0|21877|24469|28595|60834|0||||||R.M. COATS CONSTRUCTION, INC.|r.m. coats
R.W.S. & P. INC.|954415822|45|41|44|90|0|46817|37847|39585|78572|0||||||R.W.S. & P. INC.|r.w.s. & p
R/J Group, Inc.|592541672|50|0|50|45|0|104000|0|104000|93600|0||||||R/J Group, Inc.|r/j
RCH Roofing Corporation|043386814|0|0|0|0|87|0|0|0|0|196179|unknown|Rch Roofing Services||RCH Roofing Corp.||RCH Roofing Corporation|rch roofing
RD Herbert & Sons Company|620442225|23|25|18|3|0|50239|54718|43914|4853|0||||||RD Herbert & Sons Company|rd herbert & sons
RENEWPRO ROOFING, LLC|844777866|0|0|14|0|0|0|0|19426|0|0||||||RENEWPRO ROOFING, LLC|renewpro roofing
RH Marcon Inc.|251419769|75|71|76|81|75|108605|127245|132892|147033|127671||||||RH Marcon Inc.|rh marcon
RHI Construction Inc. RHI Roofing|208575136|0|0|0|172|114|0|0|0|180749|222000||||||RHI Construction Inc. RHI Roofing|rhi construction inc. rhi roofing
RILEY ROOFING LLC|833656009|0|0|0|0|19|0|0|0|0|15614||||||RILEY ROOFING LLC|riley roofing
RISING STAR ROOFING, LLC.|823590460|0|25|0|0|0|0|39059|0|0|0|www.risingstarroofing.com|Rising Star Roofing||||RISING STAR ROOFING, LLC.|rising star roofing
RL Craft Co., Inc.|421528139|45|45|40|38|35|88626|80473|65061|59560|65733||||||RL Craft Co., Inc.|rl craft
RLB CONSTRUCTION LTD - ROOFTEC|760472889|21|23|26|27|26|42608|43943|53179|56305|52101||||||RLB CONSTRUCTION LTD - ROOFTEC|rlb construction ltd - rooftec
RMS Orlando, Inc|202309001|0|14|0|0|0|0|30571|0|0|0||||||RMS Orlando, Inc|rms orlando
ROOF EZ INC.|882425685|0|0|0|40|0|0|0|0|85220|0||||||ROOF EZ INC.|roof ez
ROOF-IT-RIGHT, LLC|270461379|19|25|25|52|23|36514|48591|48732|104500|41790||||||ROOF-IT-RIGHT, LLC|roof-it-right
ROOFCO LLC|462806818|26|30|23|54|0|52312|60568|43896|106704|0|www.roofco-inc.com|Roofco (Other Commercial Services)||||ROOFCO LLC|roofco
RSI Roofing, Inc.|161212717|0|39|35|47|0|0|81819|62598|83645|0||||RSI Roofing Inc.||RSI Roofing, Inc.|rsi roofing
RSI of Florida, LLC|592574965|43|41|47|41|40|93939|93327|102202|86206|80928||||RSI of Florida Inc.||RSI of Florida, LLC|rsi of florida
RSS Nashville Inc.||53|52|54|56|53|103714|108226|94407|109047|100079||||||RSS Nashville Inc.|rss nashville
RSSI Roofing Company|274644285|57|48|52|62|61|112623|95732|97651|116297|109663||||RSSI Roofing Company||RSSI Roofing Company|rssi roofing
RTS Roofing Inc|391776632|23|22|27|29|25|39825|30853|40700|34532|36640||||||RTS Roofing Inc|rts roofing
RYCO Contracting LLC|461115324|0|0|24|24|26|0|0|37727|400056|46609||||||RYCO Contracting LLC|ryco contracting
Rackley Company|621664861|61|59|58|49|55|150681|144833|140576|138182|143337||||||Rackley Company|rackley
Rackley Roofing Co Inc|620932570|109|120|123|122|93|260762|291481|259709|180182|244060|www.rackleyroofing.com|Rackley Roofing|Rackley Roofing Company, Inc.|Rackley Roofing Co. Inc.||Rackley Roofing Co Inc|rackley roofing
Radco Construction Services, Inc.|561599261|0|0|0|0|89|0|0|0|0|265156||||Radco Construction Services||Radco Construction Services, Inc.|radco
Rain King, Inc.|742775327|49|49|49|80|72|112855|101928|92837|128995|140571||||Rain King Inc.||Rain King, Inc.|rain king
Rain Proof Roofing|383818943|77|0|0|0|0|140307|0|0|0|0||||Rain Proof Roofing||Rain Proof Roofing|rain proof roofing
Rainbow Roofing Co., Inc.||19|17|12|19|12|30620|25686|24473|22314|22117||||||Rainbow Roofing Co., Inc.|rainbow roofing
Raincoat Roofing Maintenance / Raincoat Roofing Systems|364203488|25|0|65|60|0|50481|0|104264|92278|0||||||Raincoat Roofing Maintenance / Raincoat Roofing Systems|raincoat roofing maintenance / raincoat roofing
Raintree Services Inc.||30|0|0|0|0|72072|0|0|0|0||||Raintree Services Inc.|Raintree Partners|Raintree Services Inc.|raintree
Rainy Day Roofing Inc.|453798233|0|0|0|51|37|0|0|0|82792|60473||||||Rainy Day Roofing Inc.|rainy day roofing
Ralph Jones Sheet Metal, Inc.|621043226|60|45|45|35|35|105973|65294|51592|46354|51236||||||Ralph Jones Sheet Metal, Inc.|ralph jones sheet metal
Ralph W. Plotke Inc.|800829412|0|37|0|0|0|0|62261|0|0|0||||||Ralph W. Plotke Inc.|ralph w. plotke
Ramcon Roofing||0|254|115|101|0|0|209974|268112|236806|0||||||Ramcon Roofing|ramcon roofing
Range Cornice & Roofing Co Inc|410790570|23|0|0|0|0|45442|0|0|0|0||||Range Cornice & Roofing Co.||Range Cornice & Roofing Co Inc|range cornice & roofing
Ray St Clair|311392120|0|42|0|0|0|0|86600|0|0|0||||||Ray St Clair|ray st clair
Rayco Roof Service, Inc.|541142276|32|27|24|21|19|34903|42079|42748|39828|33191||||Rayco Roof Service Inc.||Rayco Roof Service, Inc.|rayco roof service
Ready Roofing, LLC|822501272|0|15|33|31|32|0|1791|65753|34671|66119||||||Ready Roofing, LLC|ready roofing
Ream Roofing Associates, LLC|232801208|0|45|46|57|68|0|73929|82849|105789|129746||||Ream Roofing Associates Inc.||Ream Roofing Associates, LLC|ream roofing
Reconstruction Experts Inc.|592324798|208|148|110|205|104|180743|212693|169385|246192|211172||||||Reconstruction Experts Inc.|reconstruction experts
Recovery Roofing Inc|843651605|0|30|25|40|25|0|43200|56534|55652|61248||||Recovery Roofing Inc.||Recovery Roofing Inc|recovery roofing
Red Dogs Roofing of Florida Inc|823572139|38|24|26|41|0|57054|15488|47217|70293|0||||||Red Dogs Roofing of Florida Inc|red dogs roofing of florida
Red Mountain Roofing LLC|271463701|0|0|37|35|33|0|0|75379|77117|72977||||||Red Mountain Roofing LLC|red mountain roofing
Red Pointe Roofing, LP|900957014|101|93|94|112|133|210358|185594|192134|236757|281620||||Red Pointe Roofing||Red Pointe Roofing, LP|red pointe roofing
Red Sky, Inc|202070268|22|22|22|23|25|42635|37429|37347|35078|41320||||||Red Sky, Inc|red sky
Redd Roofing and Construction|870310391|124|124|131|138|132|266625|257869|272357|288422|276589||||Redd Roofing Co. Inc.||Redd Roofing and Construction|redd roofing
Redtail Roofing|863590302|0|0|40|0|0|0|0|62000|0|0||||||Redtail Roofing|redtail roofing
Regan Roofing, Inc.|460628528|50|50|50|115|91|10400|10400|10400|137022|190186||||||Regan Roofing, Inc.|regan roofing
Register Roofing & Sheet Metal, Inc.|542069021|92|88|83|90|0|192900|186064|161784|174778|0|||Register Roofing & Sheet Metal, Inc.|Register Roofing & Sheet Metal Inc.||Register Roofing & Sheet Metal, Inc.|register roofing & sheet metal
Reliance Roofing and Waterproofing, Inc.|462992114|51|44|35|36|35|83627|69653|64308|64138|64448||||Reliance Roofing & Waterproofing, Inc.||Reliance Roofing and Waterproofing, Inc.|reliance roofing & waterproofing
Reliant Roofing LLC|871239494|0|0|80|200|0|0|0|166400|414800|0|www.reliantroofing.com|Reliant Roofing||||Reliant Roofing LLC|reliant roofing
Renaissance Roofing, Inc.||88|77|0|0|0|228800|196350|0|0|0||||||Renaissance Roofing, Inc.|renaissance roofing
Renco Roofing|010813574|65|65|0|65|65|128507|123711|0|125664|133107|rencoroofing.com|RENCO Roofing||RENCO Roofing||Renco Roofing|renco roofing
Resnick Roofing & Contracting|932058239|0|0|0|0|47|0|0|0|0|109980||||||Resnick Roofing & Contracting|resnick roofing & contracting
Restoration Builderst Group (OK)|301017193|257|24|5|27|0|554128|49920|10400|51840|0||||||Restoration Builderst Group (OK)|restoration builderst
Restoration Services Inc.|760044493|152|126|117|103|113|237868|147381|155952|166523|196643||||Restoration Services Inc.||Restoration Services Inc.|restoration
Rey Crest Roofing and Waterproofing|953057325|35|0|0|35|35|76000|0|0|74431|78750||||||Rey Crest Roofing and Waterproofing|rey crest roofing & waterproofing
Reyes Group Generla Construction|201542316|0|0|0|0|45|0|0|0|0|87688||||||Reyes Group Generla Construction|reyes group generla
Richard L Sensenig Co.|231663036|75|67|66|63|64|135932|140511|135084|128854|132151||||||Richard L Sensenig Co.|richard l sensenig
Ridge Valley Exteriors, Inc.|264306586|35|0|0|32|0|60000|0|0|41793|0||||Ridge Valley Exteriors Inc.||Ridge Valley Exteriors, Inc.|ridge valley exteriors
Ridgeworth Roofing|362791119|0|0|18|0|0|0|0|30188|0|0||||Ridgeworth Roofing Co. Inc.||Ridgeworth Roofing|ridgeworth roofing
Right Roofing & Siding inc.|264025736|0|0|0|17|0|0|0|0|22697|0||||||Right Roofing & Siding inc.|right roofing & siding
Ring Roofing, Inc.|821465051|33|0|0|0|0|69168|0|0|0|0||||||Ring Roofing, Inc.|ring roofing
Rio Roofing, Inc.|742427440|41|43|35|40|42|96818|90130|74413|82354|90350||||Rio Roofing Inc.||Rio Roofing, Inc.|rio roofing
Rite-Way Roof Corporation|330978921|0|30|35|80|50|0|41245|48214|56077|67769||||Rite-Way Roof Corporation||Rite-Way Roof Corporation|rite-way roof
River City Roofing|200703878|28|19|18|13|16|22272|29600|22780|22883|15257||||River City Roofing Co. Inc.||River City Roofing|river city roofing
River Roofing Inc.|931046398|40|36|36|39|39|67305|61908|60354|78314|92693||||River Roofing Inc.||River Roofing Inc.|river roofing
Robert Binns Roofing|431951384|60|67|127|127|0|124800|800004|85338|85338|0||||||Robert Binns Roofing|robert binns roofing
Robert Ganter Contractors Inc||0|110|0|110|0|0|193143|0|266689|0||||Robert Ganter Contractors Inc.||Robert Ganter Contractors Inc|robert ganter
Roberts McNutt Inc.||26|24|0|0|0|39316|41405|0|0|0||||||Roberts McNutt Inc.|roberts mcnutt
Roberts Roofing|256986325|0|0|0|44|22|0|0|0|82339|42000||||Roberts Roofing Co. Inc.||Roberts Roofing|roberts roofing
Roberts-McNutt|007104023|0|0|0|0|31|0|0|0|0|37461||||||Roberts-McNutt|roberts-mcnutt
Robust Roof, LLC|921308824|0|0|0|0|8|0|0|0|0|16000||||||Robust Roof, LLC|robust roof
Rockwell Roofing, Inc.|42652947|0|0|44|0|0|0|0|101824|0|0||||Rockwell Roofing Inc.||Rockwell Roofing, Inc.|rockwell roofing
Rogers Roofing, Inc.|363864511|0|0|0|35|0|0|0|0|72800|0||||||Rogers Roofing, Inc.|rogers roofing
Roman Roofing, Inc.|473093920|0|0|0|360|312|0|0|0|720000|624000|www.romanroofing.com|Roman Roofing|Roman Roofing|||Roman Roofing, Inc.|roman roofing
Roof Asset Management Inc.|812728224|0|42|39|44|54|0|80888|78049|89128|105429||||Roof Asset Management Inc.||Roof Asset Management Inc.|roof asset
Roof Check Inc|841035057|85|55|0|0|65|128554|90822|0|0|115620||||Roof Check Inc.||Roof Check Inc|roof check
Roof Concepts LLC|201759307|0|0|23|0|0|0|0|6255|0|0||||||Roof Concepts LLC|roof concepts
Roof Control Services, Inc|352141002|50|45|50|0|45|87935|82157|79726|0|81681||||||Roof Control Services, Inc|roof control
Roof Depot|582385323|0|123|123|123|138|0|255840|249600|249600|287040||||||Roof Depot|roof depot
Roof King Roofing Inc|453969998|40|31|65|30|67|5249|1715|38919|46922|42613||||||Roof King Roofing Inc|roof king roofing
Roof Maintenance Systems|222016917|19|20|19|18|16|30075|31182|30428|28777|27763||||Roof Maintenance Systems||Roof Maintenance Systems|roof maintenance
Roof Masters Inc|931088362|0|0|0|20|0|0|0|0|32975|0||||Roof Masters Co.||Roof Masters Inc|roof masters
Roof Partners, LLC|320395363|0|0|21|0|0|0|0|37011|0|0|www.roofservices.com|Roof Services (New York)||Roof Technologies LLC||Roof Partners, LLC|roof
Roof Rite||0|0|0|61|105|0|0|0|126880|37663||||Roof Rite Inc.||Roof Rite|roof rite
Roof Systems of Maine, A Tecta America Company, LLC|811305084|40|40|42|44|46|79889|60602|85524|88697|76996||||Roof Systems of Maine a Tecta America Company||Roof Systems of Maine, A Tecta America Company, LLC|roof systems of maine a tecta america
Roof Systems of VA, Inc.|541663081|0|90|0|0|0|0|201982|0|0|0||||||Roof Systems of VA, Inc.|roof systems of va
Roof Tech, Inc.|411738553|28|36|33|39|29|40281|47077|41296|49088|42192||||Roof Tech Inc.||Roof Tech, Inc.|roof tech
Roof Tile Specialists|850531306|0|0|0|200|400|0|0|0|100000|2300000||||||Roof Tile Specialists|roof tile specialists
Roof Top Innovations|813785769|0|0|0|0|10|0|0|0|0|2080||||||Roof Top Innovations|roof top innovations
Roof Toppers of El Paso, Inc.|201582986|0|0|0|45|0|0|0|0|49199|0||||||Roof Toppers of El Paso, Inc.|roof toppers of el paso
Roof toppers|911607565|0|0|0|67|65|0|0|0|109430|114745||||Roof Toppers Inc.||Roof toppers|roof toppers
RoofOptions LLC|900195289|87|88|89|90|80|193960|197392|175261|174150|165818||||||RoofOptions LLC|roofoptions
RoofSmith of Tampa Bay, Inc.||33|0|0|0|0|69819|0|0|0|0||||||RoofSmith of Tampa Bay, Inc.|roofsmith of tampa bay
Roofcare Service Center, LLC|823420143|0|0|75|82|70|0|0|152461|172412|143597||||||Roofcare Service Center, LLC|roofcare service center
Roofcrafters, Inc|202771976|0|0|20|23|25|0|0|39644|48178|52497||||||Roofcrafters, Inc|roofcrafters
Roofing & Renovation of Florida, LLC|454000879|20|0|20|22|24|48000|0|51346|57200|62581||||||Roofing & Renovation of Florida, LLC|roofing & renovation of florida
Roofing Buyer, LLC||0|0|0|35|0|0|0|0|83220|0||||||Roofing Buyer, LLC|roofing buyer
Roofing Concepts LLC|823859676|0|0|0|42|42|0|0|0|67695|68111||||Roofing Concepts LLC||Roofing Concepts LLC|roofing concepts
Roofing Services & Solutions, a Tecta America Company, LLC|832215604|40|42|0|0|0|108590|88244|0|0|0||||||Roofing Services & Solutions, a Tecta America Company, LLC|roofing services & solutions a tecta america
