company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Am1 Roofing, Inc|931178887|am1 roofing|0|65|0|0|0|0|95647|0|0|0
AMBATT ROOFING, INC.|270106018|ambatt roofing|9|0|13|0|0|15078|0|22468|0|0
AMCO American Roofing Company|870222391|amco american roofing|95|0|88|0|0|195365|0|168619|0|0
American Building Contractors|431924245|american building|0|0|0|0|85|0|0|0|0|175691
American Home Contractors, LLC|882217292|american home|0|0|0|0|25|0|0|0|0|52600
American Roofing & Industrial|853881453|american roofing & industrial|0|0|0|32|0|0|0|0|27720|0
American Roofing & Metal|610192077|american roofing & metal|0|0|236|175|0|0|0|232151|80099|0
American Roofing & Metal Co., Inc.|741609768|american roofing & metal|110|82|0|0|92|185280|161708|0|0|181020
American Roofing and Sheet Metal, Inc||american roofing & sheet metal|19|0|0|0|0|35906|0|0|0|0
AMERICAN SOLAR INSTALLATION COMPANY LLC|843560106, 934412947, 934612612, 993946423, 993964277|american solar installation|0|0|0|0|93|0|0|0|0|228800
Ameridian Specialty Services, Inc.|311656022|ameridian specialty|0|0|0|26|0|0|0|0|50675|0
Ampco Roofing||ampco roofing|0|9|8|0|11|0|17855|16880|0|22690
AMS CONSTRUCTION|821456888|ams|0|0|45|73|30|0|0|71569|88007|62400
Amundson Roofing, Inc|860891134|amundson roofing|35|27|35|45|43|70000|56160|72800|91800|88500
ANCRFNG, INC.|825170057|ancrfng|29|0|0|30|30|46160|0|0|62000|65000
Anderson Restoration, LLC|10917026|anderson restoration|0|0|21|0|0|0|0|39468|0|0
Anderson Roofing & Repair||anderson roofing & repair|0|7|0|4|0|0|14000|0|8320|0
ANDREW PEET, INC.|203698113|andrew peet|20|22|20|36|0|37204|40200|34830|67190|0
Andy's Roofing Co Inc|770157073|andy's roofing|0|0|0|0|20|0|0|0|0|41922
Antex Roofing, Inc.|741811103|antex roofing|66|0|0|0|0|73791|0|0|0|0
Anthony Roofing Tecta America|362699848|anthony roofing tecta america|71|82|85|58|56|127279|88800|141688|133298|115432
Antilles Roofing Co., Inc.|660431773|antilles roofing|38|36|28|23|27|60800|55240|43045|43490|46948
Antis Roofing And Waterproofing|274099954|antis roofing & waterproofing|0|0|0|0|144|0|0|0|0|243518
Apex Exteriors, Inc.|263707762|apex exteriors|73|72|80|63|72|169551|147551|1589630|127137|151507
Apex Paramedics|473703650|apex paramedics|0|0|119|0|0|0|0|238160|0|0
Apollo Primm Atlanta|582065838|apollo primm atlanta|25|35|30|0|30|48783|60783|64748|0|67023
Apollo Primm Southeast, Inc.|581593768|apollo primm southeast|0|0|12|11|0|0|0|24337|13119|0
Apple Roofing, LLC|161198739|apple roofing|39|33|51|37|239|66601|56371|62817|66471|492850
Applied Roofing Solutions, Inc.|453595919|applied roofing|26|21|26|27|32|56741|51255|61646|63606|73255
APPLIED URETHANE SYSTEMS, INC.|421609704|applied urethane|0|0|8|0|0|0|0|14074|0|0
AR Roofing|50571696|ar roofing|0|0|20|25|0|0|0|41600|44000|0
Arapahoe Roofing and Sheet Metal, Inc.|840633163|arapahoe roofing & sheet metal|127|110|135|148|183|238160|193498|238160|330740|298710
Arch Electric, Inc||arch electric|0|0|0|49|0|0|0|0|95612|0
Archer Exteriors, Inc|223032214|archer exteriors|56|72|83|65|155|108117|137249|165149|120182|308766
Architectural Sheet Metal, Inc.|593178660|architectural sheet metal|0|0|34|0|0|0|0|74622|0|0
Architectural Sheet Metal, L.L.C|61392043|architectural sheet metal l.l.c|0|0|25|25|0|0|0|44602|46002|0
Architectural Siding, Trim and Roofing, Inc.|341941719|architectural siding trim & roofing|0|0|0|22|59|0|0|0|44766|81950
ARICA CONSTRUCTION LLC|834102626|arica|10|0|0|0|0|6794|0|0|0|0
Arizona Construction LLC|454341275|arizona|0|0|0|25|0|0|0|0|52000|0
Arizona Foam & Spray, Inc|860256516|arizona foam & spray|0|0|0|37|35|0|0|0|87282|38181
Ark Commercial Roofing Inc|912054793|ark commercial roofing|0|0|0|24|0|0|0|0|19013|0
ARK Contracting LLC|851178203|ark contracting|0|0|0|0|8|0|0|0|0|3000
Ark Roofing|450477569|ark roofing|0|0|0|13|15|0|0|0|27040|600
Arkra, Inc.|341312927|arkra|14|0|0|0|0|22792|0|0|0|0
Arrow Roofing and Supply Inc.|381893198|arrow roofing & supply|70|53|50|60|0|107669|97640|94336|106190|0
Arry's Roofing|593014507|arry's roofing|160|159|162|200|215|332800|351520|355800|416000|447200
ARS Tecta America||ars tecta america|65|0|0|0|0|133719|0|0|0|0
ARTISAN ROOFING SYSTEMS LLC|274060336|artisan roofing|46|0|0|0|0|22902|0|0|0|0
ASI Commercial Roofing|371419244|asi commercial roofing|0|0|70|74|75|0|0|141153|146494|155156
Aspen Contracting, Inc.|510587434|aspen contracting|198|215|234|235|144|396000|430250|444600|470000|5760
Associated Roofing Professionals, LLC|351844713|associated roofing professionals|0|33|0|46|18|0|47699|0|64984|28890
ASTA ROOFING  CONSTRUCTION, LLC|452470602|asta roofing|0|0|0|0|20|0|0|0|0|28190
Atlantic Roofing II of Vero Beach, Inc.|320340502|atlantic roofing ii of vero beach|39|41|42|39|0|49516|65351|82308|73610|0
AVCO Commercial LLC|934042366|avco commercial|0|0|0|0|20|0|0|0|0|42488
AVCO Residential LLC|933993300|avco residential|0|0|0|0|23|0|0|0|0|36593
Avery Roofing Services|455345771|avery roofing|0|0|0|40|0|0|0|0|80000|0
AVI Inc.|841474198|avi|94|97|94|153|118|157377|179607|178657|194728|236254
AVODA|461415884|avoda|0|0|0|0|29|0|0|0|0|65000
Axiom Division 7|261489962|axiom division 7|0|141|274|186|190|0|293917|384949|365959|404556
Axiom Roofing LLC|862141500|axiom roofing|0|0|38|32|36|0|0|50893|63573|86027
Axiom Roofing Oregon LLC|862739917|axiom roofing oregon|0|0|22|26|42|0|0|8376|41000|78293
AZ Roofing Works LLC|461529559|az roofing works|0|26|32|0|0|0|36256|53000|0|0
AZTEKA CONSTRUCTION INC|651078406|azteka|0|5|0|0|0|0|2660|0|0|0
B  B Sheet Metal and Roofing Inc|411668760|b b sheet metal & roofing|0|24|40|55|20|0|41260|41091|4319350|34227
B  M ROOFING, LLC.|822736093|b m roofing|28|34|37|66|41|57647|70395|72511|127896|74537
B & B ROOFING, INC.|630885733|b & b roofing|35|32|32|30|28|60535|56760|53220|51900|46140
B Graber & Sons LLC|271256120|b graber & sons|0|0|34|0|0|0|0|65480|0|0
B&B Sheet Metal Company Inc.||b & b sheet metal|0|8|0|0|0|0|12000|0|0|0
B&L sheet metal and roofing A Tecta America Company|851411788|b & l sheet metal & roofing a tecta america|0|0|45|43|34|0|0|85946|83090|77944
B&L Sheet Metal and Roofing, Inc.|351144537|b & l sheet metal & roofing|43|0|0|0|0|35102|0|0|0|0
B&M Construction of Rocky Mount, Inc|10844064|b & m construction of rocky mount|0|0|27|0|0|0|0|58246|0|0
B-E Controls LLC|454536522|b-e controls|0|0|8|8|8|0|0|14069|8203|8357
B. Smith Roofing, Inc.|593818772|b. smith roofing|0|0|8|0|0|0|0|8306|0|0
B.H.L. ENTERPRISES, INC.|952800826|b.h.l|42|52|58|156|102|84343|98667|110793|285722|180733
Bachman's Roofing, Building & Remodeling, Inc.|201810654|bachman's roofing building & remodeling|102|120|120|120|110|182433|236747|271332|277835|231437
Bailey Roofing Contractors, Inc.|421327245|bailey roofing|50|47|52|61|53|84480|78832|78109|94011|91628
Baker Roofing|560130810|baker roofing|0|0|0|0|706|0|0|0|0|1472011
Banner Roofing & Construction|862294745|banner roofing|0|0|0|33|0|0|0|0|20800|0
Barber & Associates, Inc & Roof Decks LLC|591795105|barber & associates inc & roof decks|0|0|121|112|116|0|0|237322|241638|227388
Barber and Associates Inc.||barber|97|0|0|0|0|228070|0|0|0|0
Barr Roofing Company||barr roofing|0|0|34|0|0|0|0|76048|0|0
Barrett Inc.|60681058|barrett|0|0|0|81|0|0|0|0|150393|0
BARRIOS ROOFING & WATERPROOFING, LLC.|844705722|barrios roofing & waterproofing|0|4|0|0|0|0|2335|0|0|0
Barry Roofing, Inc.|363881184|barry roofing|48|46|45|41|41|108486|83557|96579|76573|93832
Bartch Roofing Co., Inc.|431132731|bartch roofing|49|36|35|92|25|80795|48608|59489|127663|62495
Barth Roofing Company, Inc|710974022|barth roofing|0|0|0|30|30|0|0|0|69057|69739
Bartlett Homes & Roofing LLC|473524614|bartlett homes & roofing|0|0|130|159|208|0|0|270400|330760|425640
Bastaldi Construction, LLC|454993905|bastaldi|20|22|0|0|0|21500|29189|0|0|0
Bates Roofing LLC|204619351|bates roofing|0|0|17|22|19|0|0|34883|34114|29782
Beachside Roofing, LLC|611441824|beachside roofing|0|0|0|0|151|0|0|0|0|207045
Beaver Home Services LLC|831799436|beaver home|0|25|50|0|0|0|29528|52000|0|0
Belcher Roofing Corporation|232293264|belcher roofing|84|81|70|67|69|130889|129898|113043|110568|113214
Beldon Roofing & Remodeling Co|741316691|beldon roofing & remodeling|0|156|147|138|147|0|370897|433907|430560|433725
Bell Roof Co|951620634|bell roof|29|26|31|37|42|44043|44951|51911|58767|71210
Ben Hill Roofing and Siding Co|581085168|ben hill roofing & siding|40|38|40|32|0|69546|80958|73879|60021|0
Bennett & Brosseau Roofing, Inc.|363035239|bennett & brosseau roofing|0|0|104|116|0|0|0|197174|230539|0
Benton Integrity Roofing Systems|204918344|benton integrity roofing|0|16|15|0|0|0|32000|30600|0|0
Benton Roofing Inc.|561804291|benton roofing|0|0|0|74|92|0|0|0|40|192629
BERGEN ENTERPRISES LLC|853903978|bergen|0|0|17|0|0|0|0|29004|0|0
Berwald Roofing Company, Inc.|410885923|berwald roofing|0|205|222|189|220|0|342581|360210|316910|395542
Best Choice Roofing|272049688, 814545974, 831826285, 843147814, 852941114|best choice roofing|0|0|0|0|155|0|0|0|0|6750
Best Choice Roofing & Home Improvement|874123157|best choice roofing & home improvement|0|0|5|0|0|0|0|10000|0|0
BEST Contracting Services Inc|953781209|best contracting|611|592|0|0|0|1199687|1138584|0|0|0
Best Environmental Systems Technology, Inc.|561344401|best environmental systems technology|0|20|0|18|0|0|38175|0|16405|0
Best Roofing Services, LLC||best roofing|224|267|281|78|362|473675|711229|405396|117763|520120
Best Wash|208158495|best wash|22|0|0|0|0|45413|0|0|0|0
Beyond Roofing and Exterior Inc.|842006411|beyond roofing & exterior|4|0|0|0|0|4223|0|0|0|0
BFARR Enterprises, LLC|811201664|bfarr|0|0|0|40|40|0|0|0|41603|27600
Bi-State Roof Systems, Inc.|431399821|bi-state roof|21|18|0|17|16|27927|23080|0|23925|22299
BIG WAVE ROOFING AND SOLAR LLC|851323658|big wave roofing & solar|0|0|0|24|53|0|0|0|41630|62902
Bigfoot Roofing & Construction|452492305|bigfoot roofing|0|0|30|23|22|0|0|72800|47840|45600
Bill Hamilton Roofing Inc.|203795052|bill hamilton roofing|78|84|86|99|111|164208|175636|178628|204725|230675
Bill Shields Roofing, Inc.|591502277|bill shields roofing|40|36|40|39|0|65566|73452|87583|98266|0
Bird & Bear Services, Inc.||bird & bear|0|0|11|11|11|0|0|19366|23059|24298
Birdair, Inc.|161244477|birdair|18|15|20|30|40|28026|35382|50190|71132|84016
Birmingham & Associates, Inc.|631180911|birmingham|0|44|0|67|61|0|92574|0|132368|120927
BISCAYNE CONSTRUCTION COMPANY, INC.|650624971|biscayne|45|38|37|62|48|96065|84175|82399|127148|87784
Bishop, Inc.|330948007|bishop|0|75|86|75|90|0|92083|92472|111616|107123
Black Hawk Roof Co.|421405570|black hawk roof|53|53|50|58|55|137200|137200|138650|145000|129480
Black Hills Roofing|460415284|black hills roofing|30|0|30|0|33|57720|0|46650|0|54080
Black Roofing & Waterproofing||black roofing & waterproofing|0|50|50|50|63|0|93014|95694|95905|124390
Black Roofing Inc.|841096626|black roofing|60|0|0|0|0|109173|0|0|0|0
BLACKMORE AND BUCKNER ROOFING A TECTA AMERICA COMPANY LLC||blackmore & buckner roofing a tecta america|65|0|0|0|92|106495|0|0|0|178239
BLINDAUER SHEET METAL &  ROOFING INC|391050343|blindauer sheet metal & roofing|18|0|0|0|0|26964|0|0|0|0
Bloom Roofing Systems Inc.||bloom roofing|98|104|111|120|98|208906|195801|206974|224068|188898
Blue Chip Roofing & Waterproofing, LLC|834489975|blue chip roofing & waterproofing|0|0|0|0|43|0|0|0|0|81551
Blue Frog Roofing||blue frog roofing|0|0|0|0|28|0|0|0|0|54880
Blue Vision Roofing Inc|831022515|blue vision roofing|0|0|0|0|23|0|0|0|0|52748
Bluebird Construction, LLC|272160997|bluebird|0|0|0|0|45|0|0|0|0|92002
BlueThread Services||bluethread|0|0|173|70|0|0|0|449800|195250|0
BM Roofing|010844064|bm roofing|25|27|0|0|0|52000|59347|0|0|0
Boak & Sons, Inc.|341368121|boak & sons|165|154|154|165|141|204268|245426|229301|238160|241700
Bob Hilson & Company inc.|591894854|bob hilson|0|43|0|0|0|0|82286|0|0|0
Boggs Roofing, Inc.|550703992|boggs roofing|18|14|0|0|0|33652|24062|0|0|0
Bollinger Roofing Co Inc.||bollinger roofing|13|15|0|0|0|667|1429|0|0|0
BONDED APPLICATORS INC.|231291914|bonded applicators|0|15|16|16|16|0|31357|28374|28747|29236
Bone Dry Commercial Roofing, Inc.|850946832|bone dry commercial roofing|0|0|126|136|83|0|0|277301|206476|130901
Bone Dry Roofing Florida, Inc.|853199207|bone dry roofing florida|0|0|66|111|4|0|0|129207|255053|5335
Bone Dry Roofing Inc|351883225|bone dry roofing|0|0|473|12|2|0|0|837517|7956|1280
Bone Dry Roofing, Colorado, Inc.|850896420|bone dry roofing colorado|0|0|15|19|11|0|0|18023|23457|11329
Boone Brothers Roofing|352166626, 352197691|boone brothers roofing|130|170|170|80|80|219586|193710|161833|158604|151111
Borsche Roofing Professionals Inc|202357906|borsche roofing professionals|0|0|0|20|16|0|0|0|24494|28628
Bowen & Son Roofing, Inc.|591450150|bowen & son roofing|19|0|0|0|0|35959|0|0|0|0
Bowhead Construction, LLC|833681354|bowhead|6|7|0|22|34|10976|14000|0|16361|41785
Boyce's Roofing & Repair|812361795|boyce's roofing & repair|0|0|0|20|40|0|0|0|29241|64604
BP Roofing Inc|331210689|bp roofing|0|0|0|24|0|0|0|0|39896|0
BPi Power|263695110|bpi power|0|0|21|31|0|0|0|42840|20621|0
Brady Roofing|527255153|brady roofing|0|0|0|38|0|0|0|0|74898|0
Brandle Roofing and Sheet Metal|382446283|brandle roofing & sheet metal|30|30|0|0|23|51542|54168|0|0|47381
Bray Sheet Metal|710218670|bray sheet metal|0|0|0|35|0|0|0|0|64251|0
Brayden Roofing Specialists LLC|352677988|brayden roofing specialists|0|0|0|10|0|0|0|0|18720|0
Brazos Commercial Roofing|821863311|brazos commercial roofing|17|22|25|25|29|34019|46790|47472|58930|58951
Brazos Industries LLC|203939819|brazos|10|12|0|0|0|19683|22403|0|0|0
Brazos Thermals Systems Inc.|853600645|brazos thermals|0|0|0|0|47|0|0|0|0|75200
Brazos Urethane Inc.|742466058|brazos urethane|140|120|116|140|165|289755|238904|252738|335783|380067
BRIGHT HOME SOLAR, LLC|815408325|bright home solar|0|27|32|68|0|0|13393|76400|157244|0
Broken Arrow INC|870302821|broken arrow|0|0|0|26|0|0|0|0|53216|0
Browns Architectural Sheetmetal, Inc.|931031667|browns architectural sheetmetal|18|15|0|0|0|37902|40444|0|0|0
Bruns Construction Enterprises, Inc.||bruns|30|0|0|0|0|70187|0|0|0|0
Buck Roofing & Construction, LLC.|431926624|buck roofing|41|46|0|40|48|82745|97852|0|88558|90771
Buckley Roofing Company, Inc|480777772|buckley roofing|0|62|67|71|0|0|125179|137503|159638|0
BUDDY'S ROOFING  REPAIRS, INC.|200687931|buddy's roofing repairs|18|20|21|38|23|30893|34047|36703|65668|31240
Building Envelope Solutions|921500237|building envelope|0|0|0|0|40|0|0|0|0|58881
Building Technicians Corporation|341187227|building technicians|0|0|0|26|23|0|0|0|39748|36993
Bulldog Sales LLC dba Bulldog Roofing|474528029|bulldog sales llc dba bulldog roofing|0|21|33|0|41|0|840|66000|0|82000
Burner Sheet Metal, LLC||burner sheet metal|0|54|0|0|0|0|108915|0|0|0
Burns and Scalo Roofing Company|251145220|burns & scalo roofing|118|60|69|63|64|142465|238160|143456|126410|115156
Burns and Scalo Roofing Ohio|621827083|burns & scalo roofing ohio|31|18|25|35|45|37338|37081|53597|70901|78203
C & C Roofing & Supply, Inc.|860432684|c & c roofing & supply|30|0|78|42|35|50657|0|79804|43933|47936
C & S Residential Roofing, Inc|200166812|c & s residential roofing|0|0|32|0|0|0|0|62263|0|0
C & S Roofing Company|592009879|c & s roofing|0|0|0|84|85|0|0|0|222588|219638
C&N Siding and Gutters|921346594|c & n siding & gutters|0|0|0|0|100|0|0|0|0|85992
C.E. Bourne & Co., Inc.|570781688|c.e. bourne|70|60|0|60|0|120398|104095|0|106455|0
C.G.R. CONSTRUCTION CO. INC.|650654971|c.g.r|0|0|19|78|45|0|0|1713|158640|91256
C.L. Schust Company, Inc.|352134384|c.l. schust|46|0|0|0|0|80741|0|0|0|0
C.O. Beck & Sons|10246859|c.o. beck & sons|0|0|22|21|0|0|0|35000|35000|0
C.R.M., Inc.|341669889|c.r.m|49|44|44|39|43|88304|88304|81300|74055|77966
C234 Inc|453219286|c234|0|0|0|0|29|0|0|0|0|23507
CABLE STRONG ENTERPRISES, LLC|463992960|cable strong|18|17|0|32|29|19756|32215|0|62386|48908
Cairo Builder, Inc.|843645900|cairo builder|0|0|0|25|25|0|0|0|22000|11580
California Construction & Roofing inc|330886811|california construction & roofing|0|0|33|33|0|0|0|68996|68000|0
California Premier Roofscapes Inc.|263936399|california premier roofscapes|120|0|0|0|0|274944|0|0|0|0
CAMBER BRANDS LLC|883819653|camber brands|0|0|31|76|23|0|0|16798|130544|41538
CAMCO ROOFING|620851169, 620981218|camco roofing|0|0|0|98|0|0|0|0|174145|0
Campany Roof Maintenance LLC|270278579|campany roof maintenance|0|43|35|25|25|0|100888|86063|41674|45880
Campany Roof Maintenance Roofing Division LLC|472451226|campany roof maintenance roofing division|0|99|94|68|70|0|208095|201265|112194|140291
Campbell Beard Roofing, Inc.|841297228|campbell beard roofing|0|36|0|0|0|0|87800|0|0|0
CANNELLA ROOFING, INC.|223648844|cannella roofing|0|17|0|0|0|0|27863|0|0|0
Canopy Services Group||canopy|0|0|0|0|85|0|0|0|0|105351
Capitol Roofing Inc.|830328938|capitol roofing|0|0|0|0|26|0|0|0|0|52000
Caprioli Painting, Inc.|020483038|caprioli painting|14|0|0|0|0|26630|0|0|0|0
Cardinal Roofing & Siding Company Inc.|651044422|cardinal roofing & siding|0|94|97|110|84|0|171080|177120|201717|152734
CARDINAL ROOFING, INC.|431981484|cardinal roofing|0|0|39|38|0|0|0|81151|69262|0
Care Sheet Metal & Roofing, Inc.|362837929|care sheet metal & roofing|0|0|0|0|27|0|0|0|0|29220
CARIBBEAN ROOFING  CONSTRUCTION INC.|200761479|caribbean roofing|20|12|9|40|22|20794|17943|12969|35018|12730
Carlon Roofing & Sheet Metal, Inc.|611172306|carlon roofing & sheet metal|0|48|0|0|64|0|97743|0|0|76485
Carlson Racine Roofing and Sheet Metal Inc.|390833065|carlson racine roofing & sheet metal|0|0|46|46|47|0|0|72697|74531|80927
Carlson Roofing Company Inc|200950708|carlson roofing|52|0|57|71|74|81359|0|86555|113460|119883
Castro Roofing of Texas, LLC|752365883|castro roofing of texas|0|0|0|49|0|0|0|0|75439|0
CATALINA ROOFING AND SUPPLY,INC|860614329|catalina roofing & supplyinc|42|0|0|0|0|67172|0|0|0|0
CATHEDRAL ROOFING INNOVATIONS, INC.|260971243|cathedral roofing innovations|0|0|12|0|0|0|0|13870|0|0
CB ROOFING CONSTRUCTION INC.|271187783|cb roofing|0|0|30|50|0|0|0|38424|80498|0
CCA Contracting Group|824585882|cca contracting|0|0|0|60|47|0|0|0|110671|87142
CCA Roofing Corp|873374148|cca roofing|0|0|0|0|20|0|0|0|0|10961
Cedar Design Inc|113266142|cedar design|0|50|0|0|0|0|90000|0|0|0
Cedar Roofing Company|830344362|cedar roofing|100|79|90|90|27|190000|160000|187200|187200|56160
CEI MICHIGAN LLC|203259536|cei michigan|110|110|110|110|129|205004|198830|161382|192022|228157
Celoseal Roofing Inc.|952647166|celoseal roofing|45|50|46|38|70|49140|80322|60143|60024|115000
CentiMark Corporation|251194990|centimark|4879751|1897|1883|1893|1920|3051235|2947221|2756628|3107498|3156024
Central Florida Exterior|593638281|central florida exterior|30|0|0|0|30|53357|0|0|0|62915
Central Homes LLC|364694639|central homes|0|0|275|175|130|0|0|57200|364000|270400
Central Oregon Roofing|931329127|central oregon roofing|25|0|0|0|0|54614|0|0|0|0
CENTRAL ROOFING LLC|454310902|central roofing|0|0|0|0|61|0|0|0|0|122539
Central States Roofing|420939475|central states roofing|0|45|45|44|54|0|82628|94931|87071|97501
Central States Roofing & Insulating Company|840384567|central states roofing & insulating|115|75|0|60|0|191094|139514|0|117406|0
Certified Roofing Specialists, Inc.|592758076|certified roofing specialists|20|0|0|0|0|40142|0|0|0|0
CFS Roofing Services, LLC|271044026|cfs roofing|0|247|0|0|0|0|432000|0|0|0
CG ROOFING GROUP LLC||cg roofing|0|0|40|96|0|0|0|56160|149160|0
Chandler Roofing and Construction Inc|261893541|chandler roofing|0|0|0|10|9|0|0|0|17129|18164
Channel Islands Roofing, Inc.|953292413|channel islands roofing|21|0|0|0|0|46455|0|0|0|0
Chapman Coast Roof Co., Inc|263735422|chapman coast roof|0|30|0|0|0|0|45745|0|0|0
Charlottesville Roofing Inc. dba Martin Roofing and Sheet Metal|541591121|charlottesville roofing inc. dba martin roofing & sheet metal|15|13|12|12|10|26574|22454|19652|18290|15979
Charter Roofing Co., Inc.|742123832|charter roofing|45|0|0|48|45|88854|0|0|112051|111272
CHERRY ROOFING INC|201148322|cherry roofing|0|0|0|41|35|0|0|0|72140|68361
Childers Roofing & Sheetmetal, Inc|431992667|childers roofing & sheetmetal|71|64|0|0|0|232140|90949|0|0|0
CHM Contracting LLC|273920333|chm contracting|0|0|0|52|0|0|0|0|66240|0
CHRIS ANDERSEN ROOFING, A TECTA AMERICA COMPANY, LLC|841987343|chris andersen roofing a tecta america|79|78|78|79|153|142499|132649|135970|145231|144351
Ciaccio Roofing Corporation|470761200|ciaccio roofing|25|0|0|0|0|47455|0|0|0|0
CIRSCO,  Commercial Industrial Roof Services Company, Inc.|510426839|cirsco commercial industrial roof|39|29|24|23|11|48707|48165|48884|42440|18365
Citadel Roofing and Solar|473949736|citadel roofing & solar|694|1060|1350|683|784|732905|1155749|1352541|1260294|1450489
Citiroof Corp|521674803|citiroof|0|0|0|0|60|0|0|0|0|128228
CityScape Roofing, Inc.|200880458|cityscape roofing|22|20|20|18|19|38024|40372|41557|36150|40573
CL Burks Construction- Commercial Roofing Contractors, LLC|273203938|cl burks construction- commercial roofing|0|0|0|113|0|0|0|0|257249|0
Clark & Associates Contracting Inc|203369820|clark & associates contracting|0|0|0|20|0|0|0|0|40000|0
Clark Roofing Co.|362135661|clark roofing|0|82|0|95|99|0|133145|0|159456|182197
Clark's Quality Roofing|870441650|clark's quality roofing|0|0|47|52|0|0|0|52406|107772|0
Classic Roofing|860345657|classic roofing|0|49|0|95|0|0|108360|0|164235|0
CLEAN ROOFING|822725602|clean roofing|0|0|0|0|49|0|0|0|0|81203
Clow Roofing & Siding Company|931017794|clow roofing & siding|0|0|21|21|0|0|0|35425|31406|0
CMG dba Architectural Metals|391430322|cmg dba architectural metals|0|0|0|26|0|0|0|0|42792|0
CMR Construction and Roofing|710873844|cmr construction & roofing|161|112|190|408|87|334880|126404|383534|815266|174951
Coastal Commercial Roofing Co Inc|10587942|coastal commercial roofing|0|0|0|12|0|0|0|0|22476|0
COASTAL ROOFING SOLUTIONS, LLC|853054708|coastal roofing|0|0|0|34|0|0|0|0|3880|0
Coastal Roofing Systems of Amelia LLC|825152032|coastal roofing systems of amelia|22|26|28|21|27|32050|36400|38650|28314|35544
Coates Roofing Company, Inc.|731239820|coates roofing|25|20|18|18|0|35103|37126|28165|33020|0
Coatings Application & Waterproofing Co.|430889860|coatings application & waterproofing|78|59|45|46|52|114557|86245|78656|82334|102592
Coatings Application & Waterproofing of Georgia LLC|262602347|coatings application & waterproofing of georgia|20|18|8|10|8|27212|19907|16384|13482|13356
Cobblestone Enterprises, Inc.|150246460|cobblestone|41|34|25|0|17|57317|49367|40344|0|28203
COBICA international Corp||cobica|0|0|0|0|60|0|0|0|0|43881
Cochran Exteriors|271876046|cochran exteriors|0|0|0|34|35|0|0|0|13927|72800
Coffey Bros. Inc.|222200935|coffey bros|0|24|19|21|19|0|43779|45211|37530|40825
Coffey Contracting Company, Inc.|251900926|coffey contracting|0|24|23|23|23|0|39500|39600|38136|33131
Cole Roofing Company, Inc|520599184|cole roofing|102|97|83|88|88|174526|173493|179512|163435|165255
Collins Roofing Inc.|870306507|collins roofing|28|29|34|31|33|55025|66138|81618|74313|58988
Collis Roofing, Inc.|593511977|collis roofing|0|0|217|180|0|0|0|451360|383760|0
Colonial Roofing, Inc.|592754398|colonial roofing|0|0|0|251|239|0|0|0|348152|321055
Colorado Moisture Control, Inc.|840866575|colorado moisture control|0|59|62|80|78|0|127278|138183|178993|177871
Columbia Basin Exteriors llc|471845722|columbia basin exteriors|0|0|10|10|0|0|0|7500|7500|0
Columbia Basin Sheet Metal|473528305|columbia basin sheet metal|0|0|0|9|0|0|0|0|13493|0
Columbia Construction Services Inc.|931213831|columbia|0|0|27|0|0|0|0|52846|0|0
Columbia Roofing, Inc|521224368|columbia roofing|0|0|20|0|0|0|0|31807|0|0
Combined Roofing Services LLC|261144132|combined roofing|52|65|61|77|84|103705|130763|122241|140503|151312
COMMAND ROOFING||command roofing|0|0|35|0|0|0|0|36747|0|0
COMMERCIAL INDUSTRIAL ROOFING, INC|911086335|commercial industrial roofing|54|64|0|0|0|112369|141915|0|0|0
Commercial Roofers, Inc.|880371026|commercial roofers|350|220|319|325|230|434786|318076|394252|497857|426377
Commercial Roofing & Waterproofing Hawaii, Inc.|912175749, 990301791|commercial roofing & waterproofing hawaii|0|0|0|118|131|0|0|0|243762|240229
Commercial Roofing A Tecta America Company|842696369|commercial roofing a tecta america|20|20|20|12|12|39054|28438|29982|27051|26708
Commercial Roofing and Coating Systems LLC|900735999|commercial roofing & coating|10|0|0|0|0|20650|0|0|0|0
Commercial Roofing Concepts, Inc.|270529934|commercial roofing concepts|0|0|0|0|10|0|0|0|0|25847
COMMERCIAL ROOFING LLC|850457633|commercial roofing|0|0|41|42|37|0|0|82951|78389|74947
COMMONWEALTH ROOFING CORP|610995786|commonwealth roofing|29|0|0|0|0|60228|0|0|0|0
Community Based Services|133070655|community based|0|0|0|17|0|0|0|0|26412|0
Company Building Maintenance||company building maintenance|140|60|60|60|60|180248|123200|124800|126000|103810
Competition Roofing, Inc.|760063717|competition roofing|0|0|0|18|0|0|0|0|36619|0
COMPLETE ROOFING SOLUTIONS OF FLORIDA, LLC.|811249507|complete roofing solutions of florida|0|0|11|0|0|0|0|15022|0|0
Consolidated Enterprises, Inc.|920065205|consolidated|32|34|26|25|29|65616|61011|47106|45015|58627
CONSTRUCTION METAL SERVICES LLC|933411168|construction metal|0|0|0|6|15|0|0|0|3602|30526
ConstructoMax Corporation|473047886|constructomax|0|0|28|28|0|0|0|29015|39624|0
Contra Costa Roofworks, Inc.|680425850|contra costa roofworks|20|20|0|0|0|700|700|0|0|0
Cool Roof Roam and Coatings||cool roof roam & coatings|0|0|0|0|35|0|0|0|0|72800
