establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
2900|CentiMark Corporation|PA|1|2|64|78142|251194990|'CentiMark Corporation'|centimark|false
2800|CentiMark Corporation|MO|1|2|42|65043|251194990|'CentiMark Corporation'|centimark|false
2700|CentiMark Corporation|KS|1|2|49|57281|251194990|'CentiMark Corporation'|centimark|false
2650|CentiMark Corporation|WI|1|2|28|47803|251194990|'CentiMark Corporation'|centimark|false
2630|CentiMark Corporation|IA|1|2|22|34189|251194990|'CentiMark Corporation'|centimark|false
2600|CentiMark Corporation|IL|1|2|78|102777|251194990|'CentiMark Corporation'|centimark|false
2400|CentiMark Corporation|MI|1|2|38|64915|251194990|'CentiMark Corporation'|centimark|false
2250|CentiMark Corporation|IN|1|2|38|57619|251194990|'CentiMark Corporation'|centimark|false
2220|CentiMark Corporation|OH|1|2|58|114981|251194990|'CentiMark Corporation'|centimark|false
2210|CentiMark Corporation|IN|1|2|71|70171|251194990|'CentiMark Corporation'|centimark|false
2200|CentiMark Corporation|OH|1|2|56|75119|251194990|'CentiMark Corporation'|centimark|false
1900|CentiMark Corporation|NJ|1|2|76|110812|251194990|'CentiMark Corporation'|centimark|false
1800|CentiMark Corporation|MA|1|2|77|106737|251194990|'CentiMark Corporation'|centimark|false
1500|CentiMark Corporation|VA|1|2|54|93495|251194990|'CentiMark Corporation'|centimark|false
1400|CentiMark Corporation|PA|1|2|82|107004|251194990|'CentiMark Corporation'|centimark|false
1100|CentiMark Corporation|CT|1|2|49|69607|251194990|'CentiMark Corporation'|centimark|false
Owens Corning Foam Insulation, LLC|Owens Corning|OR|1|2|41|89624|383737830|'Owens Corning'|owens corning|false
Kitchell CEM, Inc.|Kitchell|CA|1|2|309|614352|860358697|'Kitchell Contractors'|kitchell|false
Hardison/Downey Construction|Kitchell|AZ|1|2|143|382813|860511329|'Kitchell Contractors'|kitchell|false
Kitchell Contractors, Inc. - California|Kitchell|CA|1|2|47|107332|860542011|'Kitchell Contractors'|kitchell|false
Kitchell Contractors, Inc. of Arizona|Kitchell|AZ|1|3|282|605798|860542011|'Kitchell Contractors'|kitchell|false
American Refrigeration Supplies, Inc.|Kitchell|AZ|1|2|224|472210||'Kitchell Contractors'|kitchell|false
Kitchell Corporation|Kitchell Corporation|AZ|1|3|849|2204246|860181400|'Kitchell Contractors'|kitchell|false
Atlas Molded Products|Atlas Roofing Corporation|MI|1|2|141|320867|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Skyway Roofing, Inc.|Skyway Roofing, Inc.|NY|1|2|37|74740|141763964|'Skyway Roofing Inc.'|skyway roofing|false
Bell Roof Company|BELL ROOF COMPANY|CA|1|2|29|44043|951620634|'Bell Roof Co.'|bell roof|false
Dayco, Inc.|Dayco, Inc.|VT|1|2|14|32620|030340853|'Dayco Inc.'|dayco|false
Aspen Manufacturing, LLC|Aspen Manufacturing|TX|1|3|231|639881|453120278|'Aspen Group'|aspen|false
STATE ROOFING SYSTEMS INC|STATE ROOFING SYSTEMS INC|CA|1|2|86|153406|942743961|'State Roofing Systems Inc.'|state roofing|false
Ferguson Roofing Company Inc|Ferguson Roofing Company Inc.|MO|1|1|18|36000|431073200|'Ferguson Roofing Co. Inc.'|ferguson roofing|false
Charleston SC IW Plant|Owens Corning|SC|1|2|36|64287|930957943|'Owens Corning'|owens corning|false
Rain King, Inc.|Rain King, Inc.|TX|1|2|49|112855|742775327|'Rain King Inc.'|rain king|false
Fort Smith Plant|Owens Corning|AR|1|2|72|102161||'Owens Corning'|owens corning|false
Texas Fifth Wall Roofing Systems|Texas Fifth Wall Roofing Systems|TX|1|2|120|227939||'Texas Fifth Wall Roofing Systems Inc.'|texas fifth wall roofing|false
Nikel Precision Group LLC|Precision Manufacturing Solutions Inc.|ME|1|2|91|195004|474547703|'Precision Construction Services'|precision|false
Nations Roof Gulf Coast, LLC|Nations Roof Gulf Coast, LLC|AL|1|2|23|47169|475521881|'Nations Roof Gulf Coast'|nations roof gulf coast|false
Tecta America Sacramento, Inc.|Tecta America Sacramento, Inc.|CA|1|2|52|94340|202970607|'Tecta America Sacramento Inc.'|tecta america sacramento|false
D.R. Kidd Company Inc.|Kidd Roofing|TX|1|2|130|272047|742736561|'Kidd Roofing'|kidd roofing|false
Anderson Construction Company of Fort Gaines|Anderson Construction Company|GA|1|2|112|232833|580974798|'Anderson Associates'|anderson|false
Progressive Roofing Inc|Progressive Roofing Inc|NY|1|2|30|31382|161064150|'Progressive Roofing', 'Progressive Roofing Inc.', 'Progressive Roofing Services'|progressive roofing|true
Fleetwood Metal Industries|Precision Partners|AL|1|2|200|256010||'Precision Construction Services'|precision|false
Atlas Molded Products, A Division of Atlas Roofing Corporation|Atlas Roofing Corporation|IA|1|2|64|119680|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Commercial Roofing|Commercial Roofing A Tecta America Company|WI|1|2|20|39054|842696369|'Commercial Roofing a Tecta America Company LLC'|commercial roofing a tecta america|false
Quality Roofing, Inc|Quality Roofing, Inc|FL|1|2|140|373463|900679536|'Quality Roofing', 'Quality Roofing Inc.', 'Quality Roofing Solutions', 'Quality Roofing Solutions LLC'|quality roofing|true
Applied Roofing Systems Inc|Applied Roofing Systems Inc|MA|1|2|14|35151|042789449|'Applied Roofing Solutions Inc.', 'Applied Roofing Systems Inc.'|applied roofing|true
OKC - Star Center Tube|Webco Industries Inc.|OK|1|2|170|365024|731097133|'WEBCO Services LLC'|webco|false
OKC - Southwest Tube|Webco Industries|OK|1|3|183|412542|731097133|'WEBCO Services LLC'|webco|false
Atlas Roofing|Atlas Roofing|MO|1|2|51|89124|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Holiday Inn Port of Miami|Interstate Management Company LLC|FL|1|2|79|138252|474377650|'Interstate Corp.'|interstate|false
Parsons Company INC|Parsons Company INC|IL|1|2|192|401583||'Parsons Corporation'|parsons|false
United States Roofing Corporation|United States Roofing Corporation|PA|1|2|115|239877|231528668|'United States Roofing Corp.'|united states roofing|false
Atlas Molded Products - Denver|Atlas Roofing|CO|1|2|27|52885|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
US Ply, Inc - Corp|US Ply, Inc|TX|1|2|51|100592||'US Ply Inc.'|us ply|false
O'Neal Manufacturing Services Houston|O'Neal Industries|TX|1|2|51|126298|464009440|'O'Neal Construction'|o'neal|false
Peterson Contractors Inc.|Peterson Contractors Inc.|IA|1|3|506|1391795|420921654|'Peterson Consulting Group'|peterson|false
Watkins Roofing, Inc.|Watkins Roofing, Inc.|MO|1|2|50|62333|431003848|'Watkins Roofing Inc.'|watkins roofing|false
Pfeifer Roofing, Inc.|Pfeifer Roofing, Inc.|OR|1|2|58|124775|931225470|'Pfeifer Roofing Inc.'|pfeifer roofing|false
Berridge Florida Sales Corporation|Berridge Manufacturing|FL|1|1|3|7696|811958099|'Berridge Manufacturing Co.'|berridge|false
Berridge California Sales Corporation|Berridge Manufacturing|CA|1|1|5|10400|710960386|'Berridge Manufacturing Co.'|berridge|false
Berridge - Phoenix|Berridge Manufacturing Company|AZ|1|1|3|8320|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Oklahoma|Berridge Manufacturing Company|OK|1|1|4|4160|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Kansas|Berridge Manufacturing Company|KS|1|1|3|6240|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Denver|Berridge Manufacturing Company|CO|1|1|6|11650|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Dallas|Berridge Manufacturing Company|TX|1|1|7|12883|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Corporate|Berridge Manufacturing|TX|1|2|30|62950|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Chicago|Berridge Manufacturing Company|IL|1|1|3|6240|742125639|'Berridge Manufacturing Co.'|berridge|false
Berridge - Atlanta|Berridge Manufacturing Company|GA|1|1|5|8094|742125639|'Berridge Manufacturing Co.'|berridge|false
McCarthy Building Companies - LBC Ship Dock 5|McCarthy Building Companies|TX|1|2|25|66525|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies - POH Container Yard 1&2|McCarthy Building Companies|TX|1|1|18|36826|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies - Wharf 3|McCarthy Building Companies|TX|1|2|71|142684|430399290|'McCarthy Building Companies'|mccarthy building companies|false
2187 - Freeport Berth 8|McCarthy Building Companies|TX|1|2|45|73778|430399290|'McCarthy Building Companies'|mccarthy building companies|false
2160 - POH Container Yard 7|McCarthy Building Companies|TX|1|2|25|47923|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Royal Roofing Company Inc.|Royal Roofing Company Inc.|MI|1|2|165|309510|382482479|'Royal Roofing Inc.'|royal roofing|false
GreenWood, Inc. -   Home Office|GreenWood, Inc.|SC|1|1|13|27720|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. -  BASF|GreenWood, Inc.|SC|1|1|1|1244|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. -  Merck|GreenWood, Inc.|VA|1|2|117|247779|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. -  Solvay|GreenWood, Inc.|SC|1|1|4|6392|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Augusta Operations|GreenWood, Inc.|GA|1|1|2|80|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - BASF|GreenWood, Inc.|GA|1|1|1|390|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Bosch-Rexroth|GreenWood, Inc.|SC|1|1|2|5717|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Altivia|GreenWood, Inc.|WV|1|2|16|20074|570967122|'Greenwood Industries Inc.'|greenwood|false
OEM Columbus|Owens Corning|OH|1|2|33|58142||'Owens Corning'|owens corning|false
GreenWood, Inc. - DiversiTech|GreenWood, Inc.|GA|1|2|2|552|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Fuji (Medical|GreenWood, Inc.|SC|1|1|1|3301|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - GE Aviation|GreenWood, Inc.|AL|1|1|16|36902|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - GE Durham|GreenWood, Inc.|NC|1|2|1|2114|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - GE Gas Turbine|GreenWood, Inc.|SC|1|1|39|100943|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Honeywell|GreenWood, Inc.|SC|1|2|17|47807|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Kureha|GreenWood, Inc.|WV|1|1|11|22244|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Toyota|GreenWood, Inc.|WV|1|2|19|45620|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - ZF Transmission|GreenWood, Inc.|SC|1|2|31|62293|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.-  Mitsubishi|GreenWood, Inc.|SC|1|2|29|72950|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Caterpiller|GreenWood, Inc.|GA|1|2|39|90932|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Dow (South Charleston)|GreenWood, Inc.|WV|1|2|88|176792|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Eaton Aerospace Group|GreenWood|SC|1|1|3|7998|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Fuji Film|GreenWood, Inc.|IL|1|2|34|85382|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- GE Piedmont|GreenWood, Inc.|SC|1|1|12|25872|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- NutraSweet|GreenWood, Inc.|GA|1|1|1|32|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Greer - West Projects|GreenWood, Inc.|SC|1|1|5|10406|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Solvay|GreenWood, Inc.|GA|1|2|33|69719|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Fujifilm|GreenWood, Inc.|SC|1|2|38|71548|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Standard Aero|GreenWood, Inc.|GA|1|1|3|6430|570967122|'Greenwood Industries Inc.'|greenwood|false
Morgan Advanced Materials|GreenWood, Inc.|GA|1|2|29|80848|570967122|'Greenwood Industries Inc.'|greenwood|false
DMI OH-1|Dimensional Metals Inc|OH|1|2|47|98721|311225408|'Dimensional Metals Inc.'|dimensional metals|false
Cox Roofing|Cox Roofing|MO|1|2|45|72637||'Cox Roofing'|cox roofing|false
Siding Products Group, McPherson|CertainTeed Corporation|KS|1|2|75|141522||'CertainTeed LLC'|certainteed|false
Atlas Roofing Corporation|ATLAS ROOFING CORPORATION|GA|1|2|88|220071|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
ATL HD|CENTRAL STATES|GA|1|1|16|36986|363095836|'Central States Manufacturing'|central states|false
Atlas Roofing Corporation|Atlas Roofing|TX|1|2|93|22063|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
BWI HD|CENTRAL STATES|MD|1|1|3|23867|363095836|'Central States Manufacturing'|central states|false
CHS CST SOUTH|CENTRAL STATES|SC|1|1|1|440|363095836|'Central States Manufacturing'|central states|false
CHS HD|CENTRAL STATES|SC|1|1|4|10165|363095836|'Central States Manufacturing'|central states|false
DFW CST SOUTH|CENTRAL STATES|TX|1|1|9|23211|363095836|'Central States Manufacturing'|central states|false
EWR HD|CENTRAL STATES|NJ|1|1|13|33007|363095836|'Central States Manufacturing'|central states|false
IAH CST NORTH|CENTRAL STATES|TX|1|1|1|2315|363095836|'Central States Manufacturing'|central states|false
IND CST SOUTH|CENTRAL STATES|IN|1|1|5|12072|363095836|'Central States Manufacturing'|central states|false
JAX CST SOUTH|CENTRAL STATES|FL|1|1|1|319|363095836|'Central States Manufacturing'|central states|false
MIA HD|CENTRAL STATES|FL|1|1|12|25530|363095836|'Central States Manufacturing'|central states|false
MKE-CST|CENTRAL STATES|IL|1|2|53|132377|363095836|'Central States Manufacturing'|central states|false
ORF CST EAST|CENTRAL STATES|VA|1|1|16|21558|363095836|'Central States Manufacturing'|central states|false
RDU HD|CENTRAL STATES|NC|1|2|25|57507|363095836|'Central States Manufacturing'|central states|false
ROA HD|CENTRAL STATES|VA|1|1|2|6974|363095836|'Central States Manufacturing'|central states|false
SAV CST SOUTH|CENTRAL STATES|GA|1|1|2|7520|363095836|'Central States Manufacturing'|central states|false
National Roofing Company|National Roofing Company|CA|1|2|141|274251|850254343|'National Roofing Corp.'|national roofing|false
Roof Check INC|Roof Check Inc|CO|1|2|85|128554|841035057|'Roof Check Inc.'|roof check|false
Office for Klein Contracting Corporation|Klein Contracting Corporation|GA|1|2|34|59434||'Klein Contracting Corp.'|klein contracting|false
Muleshoe Area Medical Center|Preferred Management|TX|1|2|97|108573|471743325|'Preferred Construction Services Inc.'|preferred|false
Security-Luebke Roofing Inc.|Security-Luebke Roofing Inc.|WI|1|2|113|293800||'Security-Luebke Roofing, Inc.'|security-luebke roofing|false
Celoseal Roofing|Celoseal Roofing|CA|1|2|45|49140|952647166|'Celoseal Roofing Inc.'|celoseal roofing|false
MW Company|MW Company|MO|1|2|102|248717|263484773|'MW'|mw|false
PAGE, INC d/b/a Save-A-Lot|PAGE, INC|KY|1|2|33|43768|611209618|'Page'|page|false
West Texas Home Health Inc DBA Bluebonnet Home Health & Hospice|Preferred Management Corp|TX|1|2|21|21690||'Preferred Construction Services Inc.'|preferred|false
Coleman Home Health and Hospice|Preferred Management Corp.|TX|1|2|12|12957|463113740|'Preferred Construction Services Inc.'|preferred|false
IKO Northeast Inc|IKO Industries|MD|1|2|21|43344|611847605|'IKO Industries'|iko|false
Port Industries Inc|Port Industries Inc|MO|1|2|45|87559|340904575|'Port Enterprises', 'Port Enterprises Ltd.'|port|true
LPM Production Facility|GMT Corporation|IA|1|2|19|37341|421033414|'GMT Consulting Inc'|gmt|false
FAB Production Facility|GMT Corporation|IA|1|2|50|97277|421033414|'GMT Consulting Inc'|gmt|false
Coleman County Medical Center|Preferred Management Corp|OK|1|2|123|242035||'Preferred Construction Services Inc.'|preferred|false
Triple M Roofing Corp.|Triple M Roofing Corp.|FL|1|2|36|74880|111986288|'Triple M Roofing Corp.'|triple m roofing|false
Specialty Roofers, Inc.|Specialty Roofers, Inc.|FL|1|2|30|60000|453143686|'Specialty Roofers Inc.'|specialty roofers|false
Four Seasons Rancho Encantado|Four Seasons|NM|1|2|128|172404|542202028|'Four Seasons Construction LLC'|four seasons|false
RSSI Roofing Company|RSSI Roofing Company|MD|1|2|57|112623|274644285|'RSSI Roofing Company'|rssi roofing|false
Pacific Home Health and Hospice|Preferred Management|OR|1|1|16|20557||'Preferred Construction Services Inc.'|preferred|false
Graham Roofing Incorporated|Graham Roofing Incorporated|MS|1|2|48|101716|640512412|'Graham Roofing Inc.'|graham roofing|false
Sherriff-Goslin Company|Sherriff-Goslin Company|MI|1|2|160|150754||'Sherriff-Goslin Co.'|sherriff-goslin|false
Fry Roofing, Inc.|Fry Roofing, Inc.|TX|1|1|19|33300|742384343|'Fry Roofing Inc.'|fry roofing|false
Rayco Roof Service, Inc.|Rayco Roof Service, Inc.|VA|1|2|32|34903|541142276|'Rayco Roof Service Inc.'|rayco roof service|false
Continental Tire The Americas, LLC|Continental Tire The Americas, LLC|MS|1|3|392|749281|341417030|'Continental Tire the Americas LLC.'|continental tire the americas|false
Alan's Roofing Inc|Alan's Roofing Inc.|FL|1|2|75|156000|592954534|'Alan's Roofing Inc.'|alan's roofing|false
Precision Construction Company|Precision Construction Company|OR|1|2|36|50751|930984839|'Precision Construction Services'|precision|false
Roofs, Inc.|Roofs, Inc.|IL|1|2|20|39386|362874756|'Roofs Inc.'|roofs|false
The Vertex Companies|The Vertex Companies|MA|1|3|413|859513||'The Vertex Companies'|the vertex companies|false
State Roofing|State Roofing|WA|1|2|70|131874||'State Roofing Systems Inc.'|state roofing|false
Haydon Construction Incorporated|Haydon Construction Incorporated|CA|1|2|40|57476||'Haydon Corporation'|haydon|false
2019 N Gateway #200   Fresno, CA 93727|Haydon Construction Incorporated|CA|1|2|40|57476|770032290|'Haydon Corporation'|haydon|false
Wrangler Roofing Inc|Wrangler Roofing Inc|TX|1|2|28|43778|273308263|'Wrangler Roofing'|wrangler roofing|false
Great Lakes Management The Glenn Minnetonka|Great Lakes Management|MN|1|2|21|34063|411614587|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI The Glenn Minnetonka|Great Lakes Management|MN|1|2|41|78829|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management The Glenn Hopkins Towers|Great Lakes Management|MN|1|2|35|47864|411614587|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management The Glenn Hopkins Terraces|Great Lakes Management|MN|1|2|23|36847|411614587|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI The Glenn Hopkins Terraces|Great Lakes Management|MN|1|2|56|76970|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Cottagewood Rochester|Great Lakes Management|MN|1|2|230|346801|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Cottagewood  Mankato|Great Lakes Management|MN|1|2|51|37763|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Comfort Residence Blaine|Great Lakes Management|MN|1|2|32|36886|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Comfort Residence Le Sueur|Great Lakes Management|MN|1|2|32|35854|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Comfort Residence St. Louis Park|Great Lakes Management|MN|1|2|28|40768|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Cottagewood  Buffalo MC|Great Lakes Management|MN|1|2|63|74943|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Cottagewood  Buffalo AL|Great Lakes Management|MN|1|2|44|65370|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Seven Hills Senior Living|Great Lakes Management|MN|1|2|32|22656|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management GTHI Talamore St. Cloud|Great Lakes Management|MN|1|2|39|29108|203937802|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management Laurel Village|Great Lakes Management|MN|1|2|20|41353|411614587|'Great Lakes Systems Inc.'|great lakes|false
Great Lakes Management Corporate|Great Lakes Management|MN|1|2|23|59080|411614587|'Great Lakes Systems Inc.'|great lakes|false
Tech Roofing Service, Inc.|Tech Roofing Service, Inc.|MA|1|2|22|41579|042730706|'Tech Roofing Service Inc.'|tech roofing service|false
Rain Proof Roofing|Rain Proof Roofing|AK|1|2|77|140307|383818943|'Rain Proof Roofing'|rain proof roofing|false
Superior Roofing, Inc.|Superior Roofing, Inc.|CO|1|2|93|178678|840917537|'Superior Roofing Inc.', 'Superior Roofing LLC', 'Superior Roofing Services Inc.', 'Superior Roofing Systems Inc.'|superior roofing|true
American Roofing|American Roofing|TX|1|2|110|185280|741609768|'American Roofing Co.'|american roofing|false
Dri Tech Corporation|Dri Tech Corporation|NV|1|2|98|159972||'Dri Tech LLC'|dri tech|false
National Gypsum Company|National Gypsum Company|AZ|1|2|49|111372||'National Gypsum Co.'|national gypsum|false
New NGC, Inc|National Gypsum|IN|1|2|56|115149|752474490|'National Gypsum Co.'|national gypsum|false
Owens Corning Neark Insulation Plant|Owens Corning|OH|1|3|515|1004362||'Owens Corning'|owens corning|false
New NGC, Inc 75-2474490|National Gypsum|FL|1|2|39|71895|752474490|'National Gypsum Co.'|national gypsum|false
Four Seasons Kanga Roof|Four Seasons Kanga Roof|MI|1|2|35|42620|371532159|'Four Seasons Kanga Roof'|four seasons kanga roof|false
NRG Joliet Generating Station|NRG|IL|1|2|45|100599|463985344|'NRG Construction LLC'|nrg|false
Insulfoam - Anchorage|Carlisle Construction Materials|AK|1|2|28|56354||'Carlisle Construction Materials'|carlisle construction materials|false
Insulfoam - Lakeland|Carlisle Construction Materials|FL|1|2|66|132032||'Carlisle Construction Materials'|carlisle construction materials|false
Insulfoam - Aurora|Carlisle Construction Materials|CO|1|2|36|72666||'Carlisle Construction Materials'|carlisle construction materials|false
CCW - Carlisle|Carlisle Construction Materials|PA|1|2|35|69257||'Carlisle Construction Materials'|carlisle construction materials|false
CCW - Wylie|Carlisle Construction Materials|TX|1|2|87|174319||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Montgomery|Carlisle Construction Materials|NY|1|2|102|204425||'Carlisle Construction Materials'|carlisle construction materials|false
Carlisle Construction Materials - Puyallup|Carlisle Construction Materials|WA|1|2|114|228539||'Carlisle Construction Materials'|carlisle construction materials|false
Insulfoam - Mead|Carlisle Construction Materials|NE|1|2|61|122748||'Carlisle Construction Materials'|carlisle construction materials|false
CCW - Terrell|Carlisle Construction Materials|TX|1|2|42|83669||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Tooele|Carlisle Construction Materials|UT|1|2|62|124799||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Terrell|Carlisle Construction Materials|TX|1|2|73|145040||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Smithfield, PA|Carlisle Construction Materials|PA|1|2|84|168169||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Franklin Park|Carlisle Construction Materials|IL||2|110|220800||'Carlisle Construction Materials'|carlisle construction materials|false
Carlisle Syntec - Senatobia|Carlisle Construction Materials|MS|1|2|118|236258||'Carlisle Construction Materials'|carlisle construction materials|false
Carlisle Syntec - Greenville, IL|Carlisle Construction Materials|IL|1|3|363|725800||'Carlisle Construction Materials'|carlisle construction materials|false
Hunter Panels - Lake City|Carlisle Construction Materials|FL|1|2|69|138452||'Carlisle Construction Materials'|carlisle construction materials|false
Carlisle Syntec - Tooele|Carlisle Construction Materials|UT|1|2|82|164893||'Carlisle Construction Materials'|carlisle construction materials|false
McPhillips Bros. Roofing Co|McPhillips Bros. Roofing Co|MN|1|2|50|46588|411521988|'McPhillips Bros. Roofing Co.'|mcphillips bros. roofing|false
O'Neal Roofing Company|O'Neal Roofing Company|FL|1|2|36|39781|592015309|'O'Neal Roofing Co. Inc.'|o'neal roofing|false
O'Neal Contracting, Inc.|O'Neal Roofing Company|FL|1|2|30|32336|593126643|'O'Neal Roofing Co. Inc.'|o'neal roofing|false
Smith Construction Inc.|Smith Construction Inc.|PA|1|1|15|35000|232947244|'Smith Group'|smith|false
Bitec Inc|Bitec Inc|AR|1|2|42|84517||'Bitec Inc.'|bitec|false
Corporate Office|RENCO Roofing|AZ|1|2|65|128507|010813574|'RENCO Roofing'|renco roofing|false
Tecta America West Florida LLC|Tecta America West Florida LLC|FL|1|2|28|52510|841505685|'Tecta America West Florida LLC'|tecta america west florida|false
Josall Syracuse, Inc.|Josall Syracuse Inc|NY|1|2|36|43601||'Josall Syracuse Inc.'|josall syracuse|false
Allweather Roof|Allweather Roof|MN|1|2|78|134248|411536214|'Allweather Roof'|allweather roof|false
South Central Roofing, Inc.|South Central Roofing, Inc.|IN|1|1|17|31062|352087207|'South Central Roofing Inc.'|south central roofing|false
Benchmark Winona|Benchmark|MN|1|3|651|1377977|742211011|'Benchmark Inc.'|benchmark|false
Benchmark Rochester|Benchmark|MN|1|3|512|1034832|742211011|'Benchmark Inc.'|benchmark|false
ATAS International|ATAS International|PA|1|2|163|240696|161132760|'ATAS International Inc.'|atas|false
Weathercraft Co. of Lincoln|Weathercraft Co. of Lincoln|NE|1|2|77|136977|470527585|'Weathercraft Co. of Lincoln'|weathercraft co. of lincoln|false
Paving & Grading|Delta Contracting Company LLC|TN|1|2|78|157135|204291579|'Delta Contracting Services Inc.'|delta contracting|false
NRG Middletown Power LLC|NRG|CT|1|2|47|105687|411949384|'NRG Construction LLC'|nrg|false
Astoria Gas Turbine Power LLC|NRG|NY|1|2|19|39924|411937470|'NRG Construction LLC'|nrg|false
Corporate Office|GAF|NJ|1|3|782|1596000|364866695|'GAF'|gaf|false
Statesboro|GAF|GA|1|2|45|96923|223626208|'GAF'|gaf|false
Tuscaloosa|GAF|AL|1|2|150|308662|751509396|'GAF'|gaf|false
Chester|GAF|SC|1|2|90|164146|223626208|'GAF'|gaf|false
John A. Dalsin & Son, Inc.|John A. Dalsin & Son, Inc.|MN|1|2|74|118794|411408661|'John A. Dalsin & Son Inc.'|john a. dalsin & son|false
Cumming|GAF|GA|1|2|30|62390|203531649|'GAF'|gaf|false
Ennis Mat|GAF|TX|1|2|72|181034|741925368|'GAF'|gaf|false
Ennis Roofing|GAF|TX|1|2|161|421513|741925368|'GAF'|gaf|false
Myerstown|GAF|PA|1|2|146|313356|741925368|'GAF'|gaf|false
Shafter Glass Mat|GAF|CA|1|1|55|138681|741925368|'GAF'|gaf|false
Burgaw|GAF|NC|1|2|205|434037|582394554|'GAF'|gaf|false
Stoffel Equipment Company, Inc.|Raymond Corporation|WI|1|2|75|133480|390984273|'Raymond Group'|raymond|false
Minneapolis|GAF|MN|1|2|102|231705|223626208|'GAF'|gaf|false
